System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.062132| -0.245904| 0.328441),(0.045144| -0.939022| -0.318024| -0.122721),(0.028668| -0.238363| 0.341639),(-0.106706| -0.313541| -0.364754| -0.870208),(0.014291| -0.232025| 0.354669),(-0.210238| -0.292813| -0.548210| -0.754670),(-0.007379| -0.221386| 0.378771),(-0.297935| -0.356842| -0.506947| -0.725881),(-0.015737| -0.215146| 0.396865),(-0.439570| -0.455518| -0.418306| -0.651384),(0.026362| -0.200244| 0.353251),(0.134826| -0.906485| -0.375059| -0.139417),(0.007918| -0.166676| 0.386086),(0.158213| -0.891889| -0.398695| -0.143333),(-0.002559| -0.156451| 0.406712),(0.197228| -0.675137| -0.707263| -0.071202),(-0.007553| -0.159581| 0.420297),(-0.205814| 0.525465| 0.825001| 0.030017),(0.040980| -0.197723| 0.357385),(0.039258| -0.900285| -0.389169| -0.191031),(0.029893| -0.162183| 0.392112),(0.038058| -0.903122| -0.382474| -0.191406),(0.021347| -0.150541| 0.415793),(-0.119454| 0.620971| 0.759983| 0.150171),(0.015144| -0.156623| 0.430154),(-0.154933| 0.386829| 0.902416| 0.109569),(0.055445| -0.200389| 0.361462),(-0.044666| -0.898139| -0.391513| -0.195113),(0.051264| -0.169517| 0.395633),(-0.029955| -0.881054| -0.427785| -0.199618),(0.044947| -0.160930| 0.419522),(-0.063400| 0.580428| 0.789502| 0.189131),(0.038557| -0.167787| 0.433161),(-0.108419| 0.360055| 0.911764| 0.165204),(0.068340| -0.207605| 0.366575),(-0.138843| -0.889771| -0.362134| -0.240600),(0.072966| -0.179960| 0.395591),(-0.196703| -0.884057| -0.364863| -0.215932),(0.073146| -0.171287| 0.413522),(0.075819| 0.611711| 0.735316| 0.281728),(0.067881| -0.174776| 0.424730),(0.000854| 0.399601| 0.869353| 0.290765)
0.040000,(0.000005| -0.000050| 0.000037),(-0.000040| -0.000079| -0.000154| 1.000000),(-0.033472| 0.007551| 0.013188),(0.294997| -0.728408| -0.346196| 0.512394),(-0.047843| 0.013896| 0.026222),(0.481319| -0.581217| -0.383398| 0.532471),(-0.069512| 0.024545| 0.050323),(0.431831| -0.520454| -0.464340| 0.571872),(-0.077885| 0.030793| 0.068411),(0.331652| -0.397783| -0.588649| 0.620700),(-0.035768| 0.045674| 0.024793),(0.053584| -0.045644| 0.087391| 0.993684),(-0.054204| 0.079226| 0.057647),(0.078810| -0.057201| 0.111781| 0.988950),(-0.064673| 0.089422| 0.078300),(0.428882| -0.014807| 0.218831| 0.876330),(-0.069664| 0.086279| 0.091884),(-0.584130| -0.007991| -0.261208| -0.768440),(-0.021150| 0.048190| 0.028930),(0.082877| -0.063863| -0.016746| 0.994371),(-0.032238| 0.083695| 0.063693),(0.077394| -0.063572| -0.018732| 0.994796),(-0.040784| 0.095296| 0.087414),(-0.508461| 0.068550| -0.129444| -0.848536),(-0.046989| 0.089220| 0.101782),(-0.709929| 0.064190| -0.203540| -0.671157),(-0.006686| 0.045520| 0.033010),(0.096265| -0.041178| -0.096467| 0.989814),(-0.010866| 0.076371| 0.067198),(0.135138| -0.050437| -0.078806| 0.986400),(-0.017184| 0.084937| 0.091110),(-0.557464| 0.091006| -0.069858| -0.822236),(-0.023576| 0.078091| 0.104755),(-0.735442| 0.104500| -0.144590| -0.653681),(0.006206| 0.038303| 0.038127),(0.084965| -0.056303| -0.202595| 0.973944),(0.010837| 0.065936| 0.067152),(0.095995| -0.015179| -0.248610| 0.963716),(0.011019| 0.074595| 0.085095),(-0.518095| 0.132306| 0.098341| -0.839287),(0.005752| 0.071102| 0.096300),(-0.702732| 0.184818| 0.004654| -0.687014)
0.060000,(-0.000019| 0.000061| -0.000066),(-0.000286| -0.000193| -0.000166| 1.000000),(-0.033484| 0.007569| 0.013165),(0.294887| -0.728706| -0.345665| 0.512392),(-0.047842| 0.013930| 0.026206),(0.481017| -0.581404| -0.383358| 0.532569),(-0.069498| 0.024606| 0.050310),(0.431744| -0.520899| -0.464025| 0.571788),(-0.077887| 0.030871| 0.068390),(0.332133| -0.398896| -0.587908| 0.620431),(-0.035770| 0.045703| 0.024746),(0.053534| -0.045614| 0.087435| 0.993685),(-0.054197| 0.079248| 0.057610),(0.080093| -0.056729| 0.111877| 0.988863),(-0.064651| 0.089405| 0.078292),(0.429991| -0.014542| 0.218855| 0.875785),(-0.069631| 0.086235| 0.091874),(-0.585334| -0.008174| -0.261258| -0.767504),(-0.021152| 0.048215| 0.028888),(0.082861| -0.063903| -0.016680| 0.994371),(-0.032243| 0.083702| 0.063670),(0.078889| -0.063348| -0.018523| 0.994696),(-0.040791| 0.095264| 0.087424),(-0.509005| 0.068530| -0.129430| -0.848213),(-0.046996| 0.089178| 0.101787),(-0.710358| 0.064303| -0.203562| -0.670686),(-0.006691| 0.045542| 0.032976),(0.096287| -0.041268| -0.096408| 0.989814),(-0.010872| 0.076386| 0.067167),(0.136118| -0.050355| -0.078745| 0.986274),(-0.017190| 0.084942| 0.091096),(-0.557474| 0.091063| -0.069730| -0.822234),(-0.023585| 0.078108| 0.104746),(-0.735364| 0.104675| -0.144504| -0.653759),(0.006197| 0.038324| 0.038101),(0.085023| -0.056450| -0.202532| 0.973943),(0.010832| 0.065961| 0.067121),(0.096543| -0.015150| -0.248765| 0.963622),(0.011022| 0.074621| 0.085071),(-0.517975| 0.132374| 0.098548| -0.839325),(0.005754| 0.071139| 0.096278),(-0.702743| 0.185073| 0.004682| -0.686935)
0.080000,(-0.000019| 0.000061| -0.000066),(-0.000287| -0.000194| -0.000167| 1.000000),(-0.033495| 0.007591| 0.013138),(0.294817| -0.728954| -0.345167| 0.512415),(-0.047843| 0.013964| 0.026184),(0.480800| -0.581569| -0.383257| 0.532657),(-0.069488| 0.024661| 0.050291),(0.431706| -0.521273| -0.463708| 0.571734),(-0.077888| 0.030941| 0.068365),(0.332560| -0.399806| -0.587257| 0.620232),(-0.035772| 0.045733| 0.024699),(0.053545| -0.045547| 0.087510| 0.993680),(-0.054193| 0.079273| 0.057571),(0.081161| -0.056309| 0.111993| 0.988787),(-0.064635| 0.089398| 0.078276),(0.430921| -0.014296| 0.218923| 0.875315),(-0.069606| 0.086206| 0.091856),(-0.586334| -0.008347| -0.261349| -0.766707),(-0.021156| 0.048241| 0.028846),(0.082903| -0.063898| -0.016585| 0.994369),(-0.032248| 0.083714| 0.063642),(0.080124| -0.063135| -0.018317| 0.994615),(-0.040797| 0.095245| 0.087422),(-0.509483| 0.068491| -0.129475| -0.847923),(-0.047002| 0.089152| 0.101782),(-0.710743| 0.064378| -0.203643| -0.670246),(-0.006696| 0.045567| 0.032939),(0.096364| -0.041309| -0.096321| 0.989813),(-0.010878| 0.076406| 0.067133),(0.136947| -0.050260| -0.078655| 0.986171),(-0.017196| 0.084953| 0.091075),(-0.557521| 0.091091| -0.069686| -0.822202),(-0.023594| 0.078129| 0.104730),(-0.735335| 0.104805| -0.144498| -0.653773),(0.006189| 0.038349| 0.038071),(0.085132| -0.056543| -0.202441| 0.973947),(0.010826| 0.065989| 0.067087),(0.097039| -0.015109| -0.248849| 0.963550),(0.011022| 0.074650| 0.085042),(-0.517922| 0.132417| 0.098655| -0.839339),(0.005755| 0.071176| 0.096252),(-0.702778| 0.185271| 0.004642| -0.686845)
0.100000,(0.000057| -0.000081| 0.000155),(0.000056| -0.000262| -0.000154| 1.000000),(-0.033506| 0.007592| 0.013127),(0.294737| -0.729043| -0.345060| 0.512407),(-0.047834| 0.013978| 0.026188),(0.480377| -0.581467| -0.383735| 0.532805),(-0.069461| 0.024693| 0.050308),(0.431576| -0.521475| -0.463745| 0.571617),(-0.077880| 0.030984| 0.068375),(0.333143| -0.400780| -0.586657| 0.619859),(-0.035773| 0.045737| 0.024687),(0.053428| -0.045592| 0.087514| 0.993684),(-0.054189| 0.079282| 0.057556),(0.081252| -0.056096| 0.111781| 0.988816),(-0.064624| 0.089408| 0.078266),(0.430895| -0.014375| 0.218840| 0.875347),(-0.069599| 0.086217| 0.091844),(-0.586243| -0.008123| -0.261337| -0.766783),(-0.021158| 0.048240| 0.028842),(0.082837| -0.063947| -0.016566| 0.994371),(-0.032258| 0.083712| 0.063636),(0.080212| -0.063171| -0.018266| 0.994606),(-0.040819| 0.095242| 0.087413),(-0.509294| 0.068752| -0.129777| -0.847968),(-0.047037| 0.089150| 0.101766),(-0.710749| 0.064740| -0.204185| -0.670040),(-0.006701| 0.045561| 0.032944),(0.096349| -0.041357| -0.096293| 0.989815),(-0.010903| 0.076388| 0.067144),(0.137376| -0.050450| -0.078375| 0.986124),(-0.017246| 0.084919| 0.091088),(-0.557547| 0.091417| -0.070217| -0.822103),(-0.023659| 0.078092| 0.104735),(-0.735130| 0.105183| -0.145096| -0.653810),(0.006179| 0.038338| 0.038083),(0.085171| -0.056581| -0.202420| 0.973946),(0.010798| 0.065974| 0.067108),(0.097404| -0.015367| -0.248552| 0.963586),(0.010972| 0.074632| 0.085066),(-0.517853| 0.132724| 0.098074| -0.839401),(0.005692| 0.071161| 0.096272),(-0.702584| 0.185603| 0.003940| -0.686958)
0.120000,(0.000134| 0.000143| 0.000059),(-0.000169| -0.001169| -0.001319| 0.999998),(-0.033536| 0.007666| 0.013054),(0.293618| -0.729941| -0.344123| 0.512400),(-0.047833| 0.014128| 0.026111),(0.478604| -0.582833| -0.383557| 0.533036),(-0.069433| 0.024964| 0.050205),(0.430560| -0.523311| -0.462948| 0.571352),(-0.077884| 0.031317| 0.068240),(0.333504| -0.403385| -0.585374| 0.619188),(-0.035720| 0.045814| 0.024601),(0.053100| -0.045711| 0.087652| 0.993684),(-0.054051| 0.079692| 0.057185),(0.071053| -0.056639| 0.108342| 0.989952),(-0.064446| 0.090239| 0.077634),(0.425522| -0.015868| 0.218043| 0.878144),(-0.069479| 0.087199| 0.091206),(-0.584394| -0.006449| -0.261994| -0.767985),(-0.021106| 0.048293| 0.028781),(0.082704| -0.064179| -0.016353| 0.994371),(-0.032139| 0.083994| 0.063346),(0.073308| -0.063768| -0.019657| 0.995075),(-0.040686| 0.095862| 0.086922),(-0.504283| 0.070549| -0.130572| -0.850689),(-0.046981| 0.089937| 0.101291),(-0.707918| 0.066969| -0.206446| -0.672122),(-0.006667| 0.045577| 0.032920),(0.096463| -0.041653| -0.096055| 0.989815),(-0.010897| 0.076473| 0.067052),(0.135701| -0.051652| -0.077439| 0.986367),(-0.017321| 0.085102| 0.090927),(-0.555862| 0.093385| -0.072840| -0.822795),(-0.023809| 0.078336| 0.104565),(-0.733112| 0.107347| -0.148203| -0.655026),(0.006180| 0.038320| 0.038098),(0.085494| -0.056883| -0.202203| 0.973945),(0.010740| 0.065984| 0.067109),(0.097257| -0.017324| -0.246554| 0.964081),(0.010793| 0.074667| 0.085035),(-0.518335| 0.135322| 0.093573| -0.839203),(0.005429| 0.071189| 0.096194),(-0.702716| 0.188149| -0.001416| -0.686140)
0.140000,(0.000114| 0.000137| -0.000043),(-0.000615| -0.001548| -0.001422| 0.999998),(-0.033571| 0.007754| 0.012952),(0.292714| -0.731005| -0.342341| 0.512595),(-0.047857| 0.014298| 0.025980),(0.477260| -0.584609| -0.382105| 0.533339),(-0.069439| 0.025267| 0.050030),(0.429527| -0.524977| -0.461765| 0.571559),(-0.077873| 0.031686| 0.068047),(0.332790| -0.404490| -0.584924| 0.619276),(-0.035681| 0.045913| 0.024461),(0.052808| -0.045542| 0.088048| 0.993672),(-0.053965| 0.080158| 0.056698),(0.059974| -0.057459| 0.105508| 0.990944),(-0.064368| 0.091184| 0.076843),(0.418537| -0.017420| 0.218037| 0.881467),(-0.069488| 0.088346| 0.090412),(-0.580850| -0.004831| -0.263568| -0.770144),(-0.021070| 0.048374| 0.028665),(0.082664| -0.064208| -0.015849| 0.994381),(-0.032052| 0.084357| 0.062944),(0.065451| -0.064303| -0.020899| 0.995563),(-0.040596| 0.096637| 0.086282),(-0.498172| 0.072089| -0.131745| -0.853974),(-0.046976| 0.090926| 0.100683),(-0.704130| 0.068871| -0.209219| -0.675044),(-0.006650| 0.045627| 0.032849),(0.096711| -0.041811| -0.095538| 0.989834),(-0.010905| 0.076641| 0.066872),(0.133298| -0.052473| -0.076612| 0.986716),(-0.017394| 0.085446| 0.090667),(-0.552833| 0.094879| -0.075212| -0.824449),(-0.023952| 0.078810| 0.104337),(-0.729487| 0.109041| -0.150917| -0.658166),(0.006164| 0.038341| 0.038074),(0.086006| -0.057138| -0.201703| 0.973989),(0.010668| 0.066055| 0.067050),(0.097133| -0.018878| -0.244753| 0.964523),(0.010632| 0.074804| 0.084944),(-0.517336| 0.137160| 0.089846| -0.839927),(0.005215| 0.071392| 0.096106),(-0.699777| 0.189531| -0.004920| -0.688743)
0.160000,(0.000145| 0.000275| -0.000179),(-0.002189| -0.001351| -0.002277| 0.999994),(-0.033609| 0.007885| 0.012897),(0.290269| -0.733933| -0.338352| 0.512449),(-0.047927| 0.014615| 0.025794),(0.474845| -0.590195| -0.377014| 0.532966),(-0.069518| 0.025892| 0.049679),(0.426664| -0.529439| -0.458928| 0.571872),(-0.077846| 0.032472| 0.067663),(0.328194| -0.405563| -0.585905| 0.620099),(-0.035563| 0.046095| 0.024240),(0.052338| -0.045553| 0.088293| 0.993675),(-0.053798| 0.080793| 0.056011),(0.049802| -0.059639| 0.104533| 0.991482),(-0.064299| 0.092401| 0.075789),(0.407058| -0.020688| 0.218774| 0.886574),(-0.069604| 0.090002| 0.089373),(-0.568469| -0.001000| -0.264978| -0.778864),(-0.020953| 0.048515| 0.028462),(0.082401| -0.064814| -0.015436| 0.994370),(-0.031772| 0.085016| 0.062208),(0.053391| -0.065589| -0.023166| 0.996148),(-0.040254| 0.098148| 0.085168),(-0.482869| 0.074590| -0.130206| -0.862740),(-0.046773| 0.093105| 0.099758),(-0.689765| 0.071992| -0.208632| -0.689576),(-0.006559| 0.045719| 0.032703),(0.096780| -0.042831| -0.095181| 0.989818),(-0.010731| 0.077141| 0.066372),(0.124637| -0.054209| -0.076964| 0.987727),(-0.017212| 0.086564| 0.089959),(-0.542721| 0.097209| -0.076189| -0.830783),(-0.023860| 0.080375| 0.103796),(-0.719712| 0.111554| -0.152431| -0.668083),(0.006200| 0.038390| 0.038011),(0.086306| -0.058572| -0.201306| 0.973959),(0.010757| 0.066340| 0.066756),(0.091612| -0.021315| -0.244034| 0.965195),(0.010722| 0.075376| 0.084497),(-0.512318| 0.139951| 0.086768| -0.842862),(0.005262| 0.072136| 0.095676),(-0.696817| 0.192674| -0.009919| -0.690815)
0.180000,(0.000077| 0.000445| -0.000549),(-0.002782| -0.001336| -0.002548| 0.999992),(-0.033636| 0.008031| 0.012855),(0.287372| -0.737327| -0.333475| 0.512407),(-0.047977| 0.014907| 0.025650),(0.473083| -0.595089| -0.371741| 0.532795),(-0.069540| 0.026425| 0.049424),(0.424114| -0.532822| -0.456337| 0.572700),(-0.077700| 0.033119| 0.067412),(0.323206| -0.404737| -0.587590| 0.621663),(-0.035417| 0.046309| 0.023988),(0.051825| -0.045372| 0.088632| 0.993680),(-0.053604| 0.081473| 0.055261),(0.040385| -0.061941| 0.104508| 0.991771),(-0.064203| 0.093536| 0.074670),(0.400698| -0.023203| 0.221707| 0.888678),(-0.069647| 0.091378| 0.088238),(-0.563138| 0.001555| -0.268914| -0.781382),(-0.020806| 0.048689| 0.028223),(0.082069| -0.065369| -0.014905| 0.994369),(-0.031472| 0.085681| 0.061451),(0.043592| -0.066955| -0.024392| 0.996505),(-0.039918| 0.099377| 0.084038),(-0.476326| 0.076945| -0.132058| -0.865883),(-0.046544| 0.094637| 0.098675),(-0.684969| 0.074597| -0.211862| -0.693085),(-0.006439| 0.045841| 0.032521),(0.096776| -0.043908| -0.094732| 0.989814),(-0.010542| 0.077605| 0.065881),(0.119695| -0.056088| -0.076354| 0.988280),(-0.017058| 0.087374| 0.089280),(-0.539775| 0.099937| -0.079488| -0.832068),(-0.023799| 0.081363| 0.103150),(-0.716845| 0.114347| -0.156453| -0.669762),(0.006263| 0.038470| 0.037913),(0.086508| -0.060189| -0.200794| 0.973948),(0.010889| 0.066668| 0.066404),(0.086785| -0.023942| -0.243195| 0.965791),(0.010847| 0.075960| 0.083984),(-0.509180| 0.143369| 0.082896| -0.844576),(0.005331| 0.072872| 0.095177),(-0.693894| 0.195931| -0.014871| -0.692749)
0.200000,(0.000081| 0.000455| -0.000557),(-0.002846| -0.001379| -0.002616| 0.999992),(-0.033634| 0.008203| 0.012769),(0.284983| -0.740249| -0.328702| 0.512612),(-0.047992| 0.015196| 0.025482),(0.471730| -0.599328| -0.366662| 0.532762),(-0.069532| 0.026907| 0.049168),(0.422215| -0.535844| -0.453477| 0.573554),(-0.077555| 0.033693| 0.067158),(0.319467| -0.404325| -0.588284| 0.623205),(-0.035274| 0.046536| 0.023730),(0.051932| -0.044896| 0.089493| 0.993619),(-0.053421| 0.082076| 0.054601),(0.033304| -0.063426| 0.105092| 0.991879),(-0.064101| 0.094503| 0.073712),(0.396057| -0.025006| 0.224744| 0.889946),(-0.069656| 0.092539| 0.087266),(-0.559277| 0.003476| -0.272744| -0.782821),(-0.020662| 0.048883| 0.027976),(0.082338| -0.065569| -0.013863| 0.994349),(-0.031203| 0.086272| 0.060786),(0.036251| -0.067758| -0.024776| 0.996735),(-0.039621| 0.100419| 0.083070),(-0.471576| 0.078727| -0.134278| -0.867979),(-0.046333| 0.095919| 0.097743),(-0.681514| 0.076697| -0.215171| -0.695239),(-0.006317| 0.045992| 0.032319),(0.097343| -0.044590| -0.093765| 0.989820),(-0.010363| 0.078034| 0.065430),(0.116306| -0.057397| -0.075233| 0.988695),(-0.016909| 0.088078| 0.088676),(-0.537897| 0.102121| -0.082881| -0.832688),(-0.023724| 0.082206| 0.102571),(-0.714901| 0.116679| -0.160409| -0.670501),(0.006339| 0.038587| 0.037780),(0.087253| -0.061373| -0.199776| 0.974017),(0.011022| 0.066988| 0.066065),(0.083480| -0.025942| -0.241936| 0.966346),(0.010974| 0.076487| 0.083515),(-0.507076| 0.146182| 0.079039| -0.845729),(0.005413| 0.073521| 0.094718),(-0.691797| 0.198693| -0.019594| -0.693941)
