System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.073749| -0.253580| 0.313508),(0.038273| -0.949911| -0.298075| -0.085763),(0.040823| -0.246034| 0.329141),(-0.099398| -0.354365| -0.355244| -0.859272),(0.027487| -0.238971| 0.342901),(-0.212241| -0.335101| -0.531064| -0.748754),(0.008309| -0.227032| 0.368358),(-0.315981| -0.408467| -0.474809| -0.712648),(0.002815| -0.220012| 0.387102),(0.476378| 0.513181| 0.357379| 0.618052),(0.039156| -0.207384| 0.339093),(0.126061| -0.919143| -0.359148| -0.101472),(0.022203| -0.174614| 0.373151),(0.173932| -0.869209| -0.451463| -0.102003),(0.012365| -0.166546| 0.395454),(-0.192914| 0.661488| 0.723969| 0.032956),(0.008327| -0.170066| 0.409363),(-0.193654| 0.531005| 0.824941| -0.002182),(0.054011| -0.204701| 0.342073),(0.031234| -0.915426| -0.369945| -0.155438),(0.043923| -0.169885| 0.377675),(0.057524| -0.885266| -0.433342| -0.158778),(0.035529| -0.160667| 0.402879),(-0.117757| 0.602146| 0.781253| 0.114877),(0.030361| -0.167678| 0.417319),(-0.142221| 0.375303| 0.912629| 0.077648),(0.068759| -0.207132| 0.345183),(-0.052607| -0.913686| -0.369214| -0.161527),(0.066054| -0.176353| 0.379359),(-0.025006| -0.871107| -0.459914| -0.170375),(0.060440| -0.169176| 0.404200),(-0.050219| 0.573346| 0.801634| 0.161663),(0.054979| -0.176458| 0.418135),(-0.085789| 0.367520| 0.914874| 0.143442),(0.082101| -0.213999| 0.349565),(-0.144568| -0.906568| -0.336651| -0.209524),(0.087595| -0.186125| 0.378167),(-0.183433| -0.875836| -0.400029| -0.198095),(0.087644| -0.178228| 0.396808),(0.077663| 0.613593| 0.741985| 0.258710),(0.082922| -0.181748| 0.408378),(0.016359| 0.428635| 0.862020| 0.270050)
0.040000,(0.000014| -0.000031| 0.000089),(-0.000060| -0.000380| 0.000029| 1.000000),(-0.032941| 0.007548| 0.015609),(0.273508| -0.742599| -0.333378| 0.512445),(-0.046276| 0.014603| 0.029374),(0.451766| -0.598593| -0.392055| 0.532811),(-0.065446| 0.026529| 0.054842),(0.383880| -0.529110| -0.487609| 0.578719),(-0.070925| 0.033539| 0.073592),(-0.251080| 0.386757| 0.625969| -0.628920),(-0.034617| 0.046198| 0.025556),(0.060213| -0.041304| 0.085165| 0.993688),(-0.051595| 0.078967| 0.059603),(0.158784| -0.056840| 0.140448| 0.975618),(-0.061445| 0.087018| 0.081900),(-0.475705| 0.004160| -0.210682| -0.853991),(-0.065486| 0.083478| 0.095804),(-0.609108| -0.021704| -0.235588| -0.756977),(-0.019764| 0.048881| 0.028545),(0.081848| -0.064217| -0.019913| 0.994375),(-0.029877| 0.083697| 0.064140),(0.149025| -0.075401| 0.010757| 0.985896),(-0.038290| 0.092905| 0.089338),(-0.557157| 0.062563| -0.122065| -0.819001),(-0.043465| 0.085885| 0.103772),(-0.745808| 0.048908| -0.176421| -0.640511),(-0.005018| 0.046452| 0.031664),(0.089151| -0.045196| -0.101363| 0.989816),(-0.007746| 0.077229| 0.065838),(0.186091| -0.062010| -0.068275| 0.978194),(-0.013378| 0.084401| 0.090677),(-0.592587| 0.088593| -0.046774| -0.799252),(-0.018848| 0.077115| 0.104607),(-0.757580| 0.095198| -0.103654| -0.637390),(0.008322| 0.039585| 0.036055),(0.070136| -0.065248| -0.205555| 0.973946),(0.013798| 0.067464| 0.064656),(0.142331| -0.043004| -0.232427| 0.961182),(0.013835| 0.075363| 0.083295),(-0.538650| 0.141533| 0.110316| -0.823198),(0.009106| 0.071846| 0.094864),(-0.702628| 0.181769| 0.038110| -0.686892)
0.060000,(0.000033| 0.000058| -0.000053),(-0.000342| -0.000375| -0.000132| 1.000000),(-0.032940| 0.007560| 0.015591),(0.273590| -0.742921| -0.332649| 0.512409),(-0.046267| 0.014624| 0.029360),(0.451765| -0.598663| -0.391834| 0.532895),(-0.065422| 0.026564| 0.054832),(0.383899| -0.529192| -0.487438| 0.578776),(-0.070892| 0.033583| 0.073582),(-0.251224| 0.386969| 0.625797| -0.628904),(-0.034617| 0.046216| 0.025510),(0.060139| -0.041312| 0.085252| 0.993684),(-0.051613| 0.079005| 0.059526),(0.158923| -0.056746| 0.140605| 0.975579),(-0.061474| 0.087059| 0.081816),(-0.475914| 0.004089| -0.211048| -0.853784),(-0.065522| 0.083517| 0.095717),(-0.609376| -0.021781| -0.236037| -0.756620),(-0.019766| 0.048897| 0.028509),(0.081853| -0.064303| -0.019793| 0.994371),(-0.029900| 0.083722| 0.064087),(0.149564| -0.075381| 0.010953| 0.985814),(-0.038328| 0.092925| 0.089285),(-0.557331| 0.062609| -0.122464| -0.818820),(-0.043514| 0.085905| 0.103714),(-0.746009| 0.048979| -0.176975| -0.640119),(-0.005023| 0.046466| 0.031643),(0.089225| -0.045338| -0.101249| 0.989814),(-0.007771| 0.077255| 0.065803),(0.186555| -0.062067| -0.068122| 0.978113),(-0.013419| 0.084425| 0.090640),(-0.592788| 0.088723| -0.047201| -0.799063),(-0.018901| 0.077142| 0.104566),(-0.757733| 0.095365| -0.104225| -0.637090),(0.008310| 0.039599| 0.036050),(0.070290| -0.065455| -0.205444| 0.973945),(0.013782| 0.067500| 0.064631),(0.142151| -0.043003| -0.232585| 0.961170),(0.013821| 0.075417| 0.083259),(-0.538717| 0.141733| 0.110063| -0.823154),(0.009081| 0.071900| 0.094820),(-0.703315| 0.182172| 0.037365| -0.686123)
0.080000,(-0.000031| 0.000034| 0.000033),(-0.000152| -0.000384| -0.000158| 1.000000),(-0.032940| 0.007564| 0.015582),(0.273609| -0.743123| -0.332198| 0.512398),(-0.046264| 0.014629| 0.029353),(0.451858| -0.598614| -0.391700| 0.532970),(-0.065409| 0.026570| 0.054831),(0.383952| -0.529045| -0.487425| 0.578885),(-0.070868| 0.033586| 0.073585),(-0.251269| 0.386703| 0.625863| -0.628983),(-0.034613| 0.046224| 0.025486),(0.060046| -0.041323| 0.085311| 0.993685),(-0.051624| 0.079030| 0.059478),(0.158769| -0.056728| 0.140688| 0.975593),(-0.061498| 0.087101| 0.081758),(-0.475564| 0.004194| -0.211315| -0.853913),(-0.065560| 0.083573| 0.095658),(-0.608871| -0.021594| -0.236378| -0.756925),(-0.019764| 0.048901| 0.028496),(0.081834| -0.064353| -0.019710| 0.994371),(-0.029909| 0.083735| 0.064061),(0.149728| -0.075306| 0.010971| 0.985794),(-0.038345| 0.092937| 0.089255),(-0.557474| 0.062702| -0.122772| -0.818669),(-0.043540| 0.085914| 0.103679),(-0.746110| 0.049158| -0.177423| -0.639863),(-0.005025| 0.046466| 0.031643),(0.089277| -0.045417| -0.101166| 0.989814),(-0.007787| 0.077256| 0.065798),(0.186921| -0.062074| -0.068024| 0.978049),(-0.013449| 0.084415| 0.090632),(-0.593148| 0.088896| -0.047642| -0.798752),(-0.018943| 0.077122| 0.104548),(-0.758014| 0.095604| -0.104805| -0.636624),(0.008303| 0.039596| 0.036063),(0.070417| -0.065561| -0.205369| 0.973944),(0.013772| 0.067504| 0.064637),(0.142211| -0.042891| -0.232773| 0.961121),(0.013811| 0.075421| 0.083261),(-0.539064| 0.141950| 0.109839| -0.822919),(0.009060| 0.071897| 0.094814),(-0.703833| 0.182556| 0.036852| -0.685518)
0.100000,(0.000033| 0.000281| -0.000039),(-0.000423| -0.002167| -0.002193| 0.999995),(-0.032977| 0.007706| 0.015445),(0.271849| -0.744496| -0.330367| 0.512525),(-0.046266| 0.014837| 0.029216),(0.450211| -0.599888| -0.390998| 0.533446),(-0.065377| 0.026872| 0.054683),(0.383265| -0.530461| -0.486326| 0.578970),(-0.070858| 0.033921| 0.073427),(-0.252329| 0.388464| 0.624548| -0.628781),(-0.034524| 0.046383| 0.025310),(0.059529| -0.041388| 0.085727| 0.993677),(-0.051517| 0.079375| 0.059155),(0.155248| -0.057085| 0.140450| 0.976173),(-0.061433| 0.087643| 0.081341),(-0.472521| 0.006117| -0.212535| -0.855287),(-0.065579| 0.084221| 0.095243),(-0.606147| -0.018995| -0.238235| -0.758597),(-0.019675| 0.049005| 0.028377),(0.081662| -0.064599| -0.019182| 0.994380),(-0.029801| 0.083946| 0.063849),(0.148305| -0.075625| 0.011280| 0.985981),(-0.038281| 0.093301| 0.088994),(-0.554570| 0.064932| -0.124415| -0.820218),(-0.043575| 0.086410| 0.103453),(-0.742512| 0.052397| -0.179647| -0.643162),(-0.004959| 0.046512| 0.031587),(0.089528| -0.045763| -0.100623| 0.989831),(-0.007727| 0.077338| 0.065709),(0.187052| -0.062665| -0.067224| 0.978042),(-0.013449| 0.084557| 0.090525),(-0.591905| 0.091223| -0.049889| -0.799273),(-0.019028| 0.077329| 0.104444),(-0.756324| 0.098678| -0.107632| -0.637693),(0.008321| 0.039589| 0.036069),(0.071021| -0.065915| -0.204890| 0.973977),(0.013799| 0.067513| 0.064629),(0.142241| -0.043440| -0.232199| 0.961231),(0.013806| 0.075465| 0.083234),(-0.538663| 0.144218| 0.107422| -0.823106),(0.008990| 0.071965| 0.094763),(-0.704057| 0.185752| 0.033175| -0.684616)
0.120000,(0.000178| 0.000521| -0.000193),(-0.001345| -0.002847| -0.004530| 0.999985),(-0.033015| 0.007982| 0.015291),(0.267000| -0.747817| -0.326821| 0.512512),(-0.046264| 0.015268| 0.029020),(0.446334| -0.604178| -0.388403| 0.533757),(-0.065327| 0.027537| 0.054414),(0.380741| -0.534666| -0.483707| 0.578962),(-0.070816| 0.034677| 0.073124),(-0.252044| 0.392192| 0.622534| -0.628578),(-0.034262| 0.046697| 0.025047),(0.058685| -0.041714| 0.086205| 0.993672),(-0.051088| 0.080260| 0.058484),(0.143173| -0.058300| 0.137913| 0.978306),(-0.061004| 0.089126| 0.080376),(0.466384| -0.010066| 0.213294| 0.858423),(-0.065275| 0.085927| 0.094282),(-0.602814| -0.013960| -0.240325| -0.760700),(-0.019408| 0.049202| 0.028185),(0.081205| -0.065406| -0.018514| 0.994377),(-0.029299| 0.084682| 0.063234),(0.136290| -0.076631| 0.009170| 0.987658),(-0.037720| 0.094679| 0.088067),(-0.548173| 0.069748| -0.126285| -0.823829),(-0.043175| 0.088061| 0.102583),(-0.737991| 0.058918| -0.183154| -0.646802),(-0.004734| 0.046585| 0.031486),(0.089705| -0.046861| -0.099958| 0.989831),(-0.007319| 0.077775| 0.065339),(0.178499| -0.063798| -0.067995| 0.979512),(-0.013006| 0.085476| 0.089970),(-0.586520| 0.096206| -0.052409| -0.802491),(-0.018719| 0.078478| 0.103937),(-0.752911| 0.105194| -0.111829| -0.639964),(0.008454| 0.039551| 0.036070),(0.071612| -0.067126| -0.204276| 0.973980),(0.014058| 0.067629| 0.064474),(0.137125| -0.045322| -0.231398| 0.962080),(0.014067| 0.075798| 0.082946),(-0.535743| 0.149452| 0.103075| -0.824633),(0.009163| 0.072445| 0.094485),(-0.699642| 0.191591| 0.028335| -0.687744)
0.140000,(0.000240| 0.000364| -0.000267),(-0.004105| -0.003321| -0.004622| 0.999975),(-0.033065| 0.008302| 0.015115),(0.262163| -0.752965| -0.318946| 0.512434),(-0.046291| 0.015838| 0.028730),(0.442453| -0.611141| -0.381670| 0.533920),(-0.065327| 0.028513| 0.053947),(0.378019| -0.541722| -0.477926| 0.578988),(-0.070804| 0.035858| 0.072578),(-0.251012| 0.398619| 0.618985| -0.628453),(-0.033984| 0.047115| 0.024550),(0.057730| -0.041606| 0.086843| 0.993677),(-0.050663| 0.081412| 0.057369),(0.131321| -0.058961| 0.136111| 0.980180),(-0.060602| 0.090962| 0.078896),(0.460309| -0.013032| 0.215020| 0.861227),(-0.065013| 0.088042| 0.092808),(-0.600187| -0.010198| -0.243587| -0.761798),(-0.019127| 0.049519| 0.027760),(0.080724| -0.066368| -0.017525| 0.994370),(-0.028853| 0.085559| 0.062304),(0.129579| -0.077739| 0.008995| 0.988476),(-0.037284| 0.096037| 0.086853),(-0.546059| 0.073903| -0.130466| -0.824219),(-0.042896| 0.089582| 0.101366),(-0.737850| 0.064276| -0.189297| -0.644680),(-0.004501| 0.046791| 0.031185),(0.089940| -0.048574| -0.099058| 0.989818),(-0.006977| 0.078391| 0.064684),(0.174575| -0.065837| -0.067136| 0.980144),(-0.012718| 0.086484| 0.089138),(-0.584263| 0.101298| -0.057124| -0.803189),(-0.018594| 0.079680| 0.103127),(-0.751072| 0.111371| -0.118099| -0.639953),(0.008587| 0.039667| 0.035923),(0.072353| -0.069526| -0.203325| 0.973956),(0.014234| 0.068043| 0.064039),(0.133346| -0.049862| -0.228560| 0.963064),(0.014142| 0.076510| 0.082343),(-0.533426| 0.155886| 0.095298| -0.825878),(0.009096| 0.073314| 0.093855),(-0.698437| 0.198534| 0.018109| -0.687344)
0.160000,(0.000250| 0.000384| -0.000278),(-0.004258| -0.003476| -0.004844| 0.999973),(-0.033060| 0.008653| 0.014881),(0.257931| -0.757340| -0.311015| 0.513008),(-0.046268| 0.016399| 0.028400),(0.439214| -0.617270| -0.374637| 0.534524),(-0.065280| 0.029415| 0.053467),(0.375916| -0.547929| -0.471751| 0.579579),(-0.070748| 0.036934| 0.072031),(-0.250604| 0.404279| 0.614848| -0.629062),(-0.033705| 0.047550| 0.024046),(0.057615| -0.040785| 0.088431| 0.993578),(-0.050262| 0.082461| 0.056346),(0.122069| -0.058732| 0.135662| 0.981451),(-0.060222| 0.092582| 0.077567),(0.455723| -0.015088| 0.217656| 0.862969),(-0.064749| 0.089894| 0.091484),(-0.598407| -0.007271| -0.247509| -0.761968),(-0.018846| 0.049870| 0.027316),(0.081044| -0.066554| -0.015595| 0.994364),(-0.028435| 0.086377| 0.061436),(0.124762| -0.078027| 0.009993| 0.989063),(-0.036876| 0.097252| 0.085749),(-0.544805| 0.077162| -0.135267| -0.823976),(-0.042619| 0.090930| 0.100259),(-0.738046| 0.068816| -0.195689| -0.642074),(-0.004261| 0.047050| 0.030843),(0.090923| -0.049475| -0.097206| 0.989867),(-0.006648| 0.078992| 0.064045),(0.172114| -0.067044| -0.065246| 0.980625),(-0.012434| 0.087409| 0.088352),(-0.582863| 0.105454| -0.062404| -0.803278),(-0.018445| 0.080766| 0.102360),(-0.749797| 0.116651| -0.124639| -0.639267),(0.008744| 0.039852| 0.035709),(0.073792| -0.071090| -0.201433| 0.974128),(0.014426| 0.068477| 0.063584),(0.131041| -0.053265| -0.225041| 0.964027),(0.014249| 0.077194| 0.081748),(-0.531974| 0.161204| 0.087402| -0.826667),(0.009083| 0.074129| 0.093238),(-0.697722| 0.204475| 0.008135| -0.686519)
0.180000,(-0.000093| 0.000187| -0.000356),(-0.009165| -0.003628| -0.009327| 0.999908),(-0.033137| 0.009327| 0.014653),(0.245517| -0.768045| -0.295050| 0.512614),(-0.046318| 0.017557| 0.027910),(0.430680| -0.632401| -0.359541| 0.534148),(-0.065308| 0.031372| 0.052564),(0.369490| -0.563781| -0.458352| 0.579260),(-0.070785| 0.039325| 0.070938),(-0.247429| 0.419852| 0.605648| -0.629042),(-0.033065| 0.048422| 0.023076),(0.055798| -0.040662| 0.089187| 0.993619),(-0.049244| 0.084198| 0.054590),(0.121053| -0.059741| 0.138916| 0.981061),(-0.059204| 0.094650| 0.075550),(0.461771| -0.019290| 0.224441| 0.857917),(-0.063837| 0.091987| 0.089430),(-0.605676| -0.001590| -0.255025| -0.753736),(-0.018191| 0.050513| 0.026426),(0.079512| -0.068819| -0.014154| 0.994355),(-0.027348| 0.087796| 0.059807),(0.124412| -0.080662| 0.012383| 0.988869),(-0.035780| 0.099072| 0.083843),(-0.548052| 0.085274| -0.142476| -0.819797),(-0.041740| 0.092892| 0.098325),(-0.739966| 0.079218| -0.204092| -0.636020),(-0.003692| 0.047480| 0.030128),(0.090333| -0.053463| -0.095987| 0.989833),(-0.005772| 0.080030| 0.062739),(0.173071| -0.072670| -0.061884| 0.980273),(-0.011676| 0.088756| 0.086808),(-0.587113| 0.116452| -0.071834| -0.797858),(-0.017956| 0.082184| 0.100716),(-0.754010| 0.129240| -0.136322| -0.629430),(0.009129| 0.040124| 0.035241),(0.073582| -0.076692| -0.199918| 0.974031),(0.015111| 0.069224| 0.062567),(0.129000| -0.061507| -0.221863| 0.964548),(0.014819| 0.078203| 0.080470),(-0.537261| 0.175945| 0.074373| -0.821500),(0.009348| 0.075155| 0.091795),(-0.705120| 0.220910| -0.009987| -0.673725)
0.200000,(-0.000138| 0.001376| -0.001817),(-0.014209| -0.006446| -0.014908| 0.999767),(-0.033164| 0.010309| 0.014255),(0.227610| -0.782150| -0.270411| 0.513140),(-0.046300| 0.019196| 0.027139),(0.418437| -0.653195| -0.335753| 0.534339),(-0.065236| 0.034096| 0.051217),(0.360308| -0.585395| -0.437283| 0.579892),(-0.070698| 0.042633| 0.069337),(-0.243141| 0.440841| 0.590848| -0.630428),(-0.032059| 0.049643| 0.021670),(0.054835| -0.039202| 0.092309| 0.993446),(-0.047753| 0.086523| 0.052132),(0.122577| -0.060492| 0.147175| 0.979620),(-0.057819| 0.097526| 0.072764),(0.463666| -0.025911| 0.236036| 0.853598),(-0.062691| 0.095142| 0.086623),(-0.608533| 0.007438| -0.267795| -0.746940),(-0.017170| 0.051424| 0.025138),(0.078965| -0.070827| -0.009926| 0.994309),(-0.025815| 0.089504| 0.057719),(0.133513| -0.083710| 0.020387| 0.987295),(-0.034336| 0.101297| 0.081633),(-0.545843| 0.096420| -0.152769| -0.818181),(-0.040647| 0.095695| 0.096255),(-0.731065| 0.094417| -0.214460| -0.640809),(-0.002799| 0.048098| 0.029097),(0.091190| -0.058025| -0.092004| 0.989875),(-0.004450| 0.081475| 0.060885),(0.175162| -0.079755| -0.054565| 0.979786),(-0.010479| 0.091000| 0.084723),(-0.580662| 0.130414| -0.083681| -0.799263),(-0.017104| 0.085126| 0.098824),(-0.742761| 0.145720| -0.148776| -0.636347),(0.009765| 0.040534| 0.034555),(0.075002| -0.083607| -0.195498| 0.974251),(0.016034| 0.070295| 0.061130),(0.127728| -0.074804| -0.211030| 0.966207),(0.015541| 0.079915| 0.078713),(-0.531059| 0.193064| 0.054368| -0.823254),(0.009778| 0.077294| 0.089983),(-0.702013| 0.239957| -0.036089| -0.669549)
