System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.074727| -0.253446| 0.312466),(0.038133| -0.945980| -0.310294| -0.085941),(0.041866| -0.246195| 0.328127),(-0.110025| -0.349893| -0.360616| -0.857570),(0.028633| -0.239799| 0.342304),(-0.229002| -0.329188| -0.539413| -0.740423),(0.009602| -0.229031| 0.368396),(-0.329660| -0.402930| -0.484407| -0.703080),(0.004116| -0.222759| 0.387427),(0.483982| 0.508665| 0.369948| 0.608408),(0.040124| -0.207791| 0.339057),(0.125681| -0.914346| -0.370980| -0.102712),(0.022979| -0.175948| 0.373882),(0.177057| -0.862823| -0.461625| -0.105309),(0.013066| -0.168884| 0.396275),(-0.197098| 0.636378| 0.745159| 0.030210),(0.009232| -0.173503| 0.409876),(-0.196984| 0.488746| 0.849845| -0.009354),(0.054970| -0.205158| 0.342108),(0.030167| -0.910587| -0.381782| -0.155450),(0.044884| -0.171114| 0.378482),(0.054990| -0.882025| -0.440127| -0.159048),(0.036590| -0.162987| 0.403631),(-0.119181| 0.570532| 0.804802| 0.112175),(0.031591| -0.171293| 0.417366),(-0.143998| 0.325361| 0.931748| 0.072460),(0.069721| -0.207642| 0.345151),(-0.053746| -0.908941| -0.381035| -0.160466),(0.067218| -0.177235| 0.379773),(-0.030645| -0.873652| -0.455479| -0.168322),(0.061884| -0.170048| 0.404518),(-0.046346| 0.568418| 0.805315| 0.161925),(0.056465| -0.177532| 0.418342),(-0.082798| 0.357950| 0.918791| 0.144361),(0.083066| -0.214601| 0.349363),(-0.146321| -0.902333| -0.348432| -0.207316),(0.088864| -0.187255| 0.378429),(-0.193547| -0.875837| -0.398644| -0.191134),(0.089397| -0.179462| 0.397088),(0.089928| 0.613159| 0.741633| 0.256768),(0.084883| -0.182978| 0.408747),(0.029835| 0.431204| 0.860188| 0.270645)
0.040000,(0.000041| 0.000015| -0.000032),(0.000204| -0.000392| -0.000313| 1.000000),(-0.032861| 0.007263| 0.015644),(0.274546| -0.733308| -0.352611| 0.512397),(-0.046104| 0.013680| 0.029803),(0.455704| -0.581026| -0.412258| 0.533655),(-0.065149| 0.024480| 0.055870),(0.388094| -0.510077| -0.503604| 0.579299),(-0.070639| 0.030764| 0.074894),(-0.256694| 0.367511| 0.634394| -0.629753),(-0.034587| 0.045662| 0.026590),(0.060247| -0.043505| 0.084073| 0.993685),(-0.051733| 0.077544| 0.061389),(0.156247| -0.062981| 0.141242| 0.975536),(-0.061654| 0.084662| 0.083753),(-0.490915| 0.007060| -0.217007| -0.843718),(-0.065502| 0.080053| 0.097350),(-0.634969| -0.021685| -0.244070| -0.732648),(-0.019742| 0.048286| 0.029653),(0.081922| -0.063638| -0.021565| 0.994371),(-0.029832| 0.082334| 0.066022),(0.143513| -0.075033| 0.006851| 0.986776),(-0.038141| 0.090514| 0.091170),(-0.576635| 0.063865| -0.125362| -0.804797),(-0.043166| 0.082269| 0.104935),(-0.769143| 0.050428| -0.181556| -0.610667),(-0.004996| 0.045792| 0.032706),(0.089206| -0.042487| -0.102489| 0.989815),(-0.007513| 0.076174| 0.067345),(0.169231| -0.057415| -0.075140| 0.981029),(-0.012867| 0.083369| 0.092104),(-0.586612| 0.088338| -0.041322| -0.803974),(-0.018300| 0.075924| 0.105948),(-0.755009| 0.096909| -0.098958| -0.640919),(0.008342| 0.038822| 0.036926),(0.070228| -0.059837| -0.207172| 0.973944),(0.014133| 0.066156| 0.066004),(0.129280| -0.030304| -0.241394| 0.961300),(0.014665| 0.073966| 0.084668),(-0.527656| 0.134027| 0.124352| -0.829549),(0.010155| 0.070487| 0.096343),(-0.691233| 0.176935| 0.054852| -0.698486)
0.060000,(0.000220| 0.000348| -0.000249),(-0.002357| -0.003047| -0.002533| 0.999989),(-0.032941| 0.007445| 0.015456),(0.273030| -0.736238| -0.347532| 0.512475),(-0.046242| 0.014026| 0.029487),(0.454777| -0.585895| -0.406371| 0.533636),(-0.065379| 0.025094| 0.055372),(0.387748| -0.514570| -0.499092| 0.579462),(-0.070897| 0.031512| 0.074335),(-0.256748| 0.370464| 0.632429| -0.629976),(-0.034509| 0.045900| 0.026227),(0.059617| -0.043313| 0.084716| 0.993677),(-0.051639| 0.078649| 0.060355),(0.134509| -0.064315| 0.136901| 0.979300),(-0.061645| 0.086788| 0.082229),(-0.479012| 0.009585| -0.217470| -0.850389),(-0.065668| 0.082564| 0.095880),(-0.629024| -0.019019| -0.246685| -0.736963),(-0.019669| 0.048491| 0.029351),(0.081823| -0.064044| -0.020696| 0.994372),(-0.029755| 0.083075| 0.065255),(0.132922| -0.076288| 0.006440| 0.988165),(-0.038146| 0.091851| 0.090100),(-0.571049| 0.066559| -0.129368| -0.807922),(-0.043322| 0.083822| 0.103916),(-0.766631| 0.053469| -0.187684| -0.611713),(-0.004953| 0.045938| 0.032508),(0.089696| -0.043305| -0.101672| 0.989819),(-0.007538| 0.076541| 0.066954),(0.167759| -0.058955| -0.073463| 0.981318),(-0.013031| 0.083909| 0.091601),(-0.586430| 0.091294| -0.046507| -0.803494),(-0.018596| 0.076519| 0.105416),(-0.755120| 0.100280| -0.105542| -0.639218),(0.008323| 0.038917| 0.036845),(0.071256| -0.061047| -0.206387| 0.973961),(0.014023| 0.066432| 0.065784),(0.127993| -0.033575| -0.238541| 0.962075),(0.014411| 0.074436| 0.084365),(-0.525813| 0.137701| 0.117914| -0.831057),(0.009799| 0.071094| 0.096044),(-0.688204| 0.180275| 0.047535| -0.701154)
0.080000,(0.000283| 0.000226| -0.000164),(-0.006324| -0.002026| -0.003086| 0.999973),(-0.032982| 0.007730| 0.015326),(0.269872| -0.742274| -0.337100| 0.512408),(-0.046280| 0.014566| 0.029237),(0.452602| -0.593470| -0.397647| 0.533687),(-0.065452| 0.026072| 0.054911),(0.387023| -0.523563| -0.490648| 0.579103),(-0.071051| 0.032762| 0.073761),(-0.258164| 0.381115| 0.625861| -0.629603),(-0.034330| 0.046335| 0.025613),(0.059031| -0.042672| 0.085476| 0.993674),(-0.051346| 0.079962| 0.058990),(0.121665| -0.064133| 0.134845| 0.981276),(-0.061383| 0.088990| 0.080464),(-0.469106| 0.010989| -0.217367| -0.855903),(-0.065568| 0.085270| 0.094204),(-0.620379| -0.016775| -0.247378| -0.744078),(-0.019487| 0.048884| 0.028756),(0.081537| -0.064869| -0.019573| 0.994365),(-0.029418| 0.084326| 0.063886),(0.120981| -0.077403| 0.005517| 0.989617),(-0.037791| 0.094018| 0.088342),(-0.562648| 0.068973| -0.131432| -0.813262),(-0.043112| 0.086447| 0.102334),(-0.761903| 0.056186| -0.191535| -0.616167),(-0.004801| 0.046281| 0.032009),(0.089869| -0.045203| -0.100771| 0.989811),(-0.007326| 0.077527| 0.065901),(0.160900| -0.061626| -0.072129| 0.982401),(-0.012880| 0.085489| 0.090281),(-0.583396| 0.094699| -0.051559| -0.804999),(-0.018566| 0.078338| 0.104145),(-0.755371| 0.103702| -0.112773| -0.637137),(0.008414| 0.039231| 0.036499),(0.071746| -0.064151| -0.205329| 0.973949),(0.014042| 0.067198| 0.065033),(0.124699| -0.040779| -0.233574| 0.963447),(0.014186| 0.075505| 0.083400),(-0.528653| 0.145013| 0.106314| -0.829575),(0.009368| 0.072198| 0.094986),(-0.693404| 0.186953| 0.032671| -0.695107)
0.100000,(0.000203| 0.000246| -0.000329),(-0.008071| -0.002925| -0.005798| 0.999946),(-0.033046| 0.008166| 0.015184),(0.263114| -0.750728| -0.323448| 0.512407),(-0.046356| 0.015418| 0.028868),(0.447423| -0.605962| -0.384596| 0.533580),(-0.065576| 0.027625| 0.054181),(0.383466| -0.537130| -0.478969| 0.578821),(-0.071235| 0.034727| 0.072860),(-0.256941| 0.395247| 0.617795| -0.629357),(-0.033974| 0.046952| 0.024839),(0.057977| -0.041976| 0.086492| 0.993678),(-0.050799| 0.081515| 0.057372),(0.112261| -0.064640| 0.135532| 0.982268),(-0.060944| 0.091499| 0.078439),(0.454587| -0.015165| 0.218811| 0.863274),(-0.065406| 0.088528| 0.092276),(-0.603673| -0.010676| -0.249323| -0.757167),(-0.019120| 0.049391| 0.028021),(0.080829| -0.066134| -0.018048| 0.994368),(-0.028795| 0.085713| 0.062328),(0.113106| -0.079056| 0.006281| 0.990413),(-0.037174| 0.096400| 0.086456),(-0.550252| 0.073871| -0.133635| -0.820919),(-0.042719| 0.089530| 0.100708),(-0.751888| 0.062503| -0.195404| -0.626558),(-0.004484| 0.046672| 0.031407),(0.089858| -0.047886| -0.099502| 0.989814),(-0.006848| 0.078606| 0.064678),(0.156581| -0.065284| -0.069861| 0.983026),(-0.012464| 0.087241| 0.088822),(-0.577959| 0.100665| -0.056975| -0.807827),(-0.018322| 0.080523| 0.102826),(-0.750306| 0.110414| -0.119510| -0.640755),(0.008621| 0.039543| 0.036095),(0.072120| -0.068318| -0.203846| 0.973950),(0.014318| 0.068002| 0.064141),(0.122273| -0.048492| -0.229041| 0.964488),(0.014319| 0.076719| 0.082297),(-0.526564| 0.153826| 0.096211| -0.830549),(0.009328| 0.073623| 0.093848),(-0.694562| 0.196352| 0.018676| -0.691868)
0.120000,(0.000181| 0.000255| -0.000391),(-0.008889| -0.003279| -0.006850| 0.999932),(-0.033072| 0.008697| 0.014959),(0.255701| -0.759282| -0.308724| 0.512637),(-0.046398| 0.016380| 0.028403),(0.441715| -0.619185| -0.370045| 0.533445),(-0.065665| 0.029313| 0.053337),(0.379414| -0.551301| -0.466058| 0.578708),(-0.071371| 0.036835| 0.071842),(-0.255301| 0.409700| 0.608870| -0.629480),(-0.033552| 0.047658| 0.023992),(0.057765| -0.040932| 0.088226| 0.993581),(-0.050178| 0.083092| 0.055728),(0.105733| -0.064844| 0.137820| 0.982660),(-0.060446| 0.093964| 0.076422),(0.440473| -0.019459| 0.221361| 0.869830),(-0.065198| 0.091756| 0.090349),(-0.586122| -0.004232| -0.252163| -0.769972),(-0.018686| 0.049974| 0.027214),(0.080939| -0.067151| -0.015745| 0.994330),(-0.028095| 0.087104| 0.060757),(0.108161| -0.080405| 0.008324| 0.990842),(-0.036486| 0.098724| 0.084606),(-0.538191| 0.078893| -0.136528| -0.827941),(-0.042260| 0.092571| 0.099122),(-0.741279| 0.069300| -0.199730| -0.637033),(-0.004104| 0.047130| 0.030734),(0.090701| -0.050406| -0.097439| 0.989817),(-0.006287| 0.079703| 0.063416),(0.154344| -0.068731| -0.066665| 0.983367),(-0.011958| 0.088980| 0.087357),(-0.572792| 0.106857| -0.062935| -0.810266),(-0.017990| 0.082719| 0.101518),(-0.744313| 0.117594| -0.126364| -0.645138),(0.008888| 0.039912| 0.035617),(0.073323| -0.072376| -0.201545| 0.974046),(0.014694| 0.068832| 0.063192),(0.121227| -0.055604| -0.224213| 0.965371),(0.014598| 0.077958| 0.081155),(-0.523663| 0.162365| 0.086504| -0.831825),(0.009460| 0.075111| 0.092694),(-0.694695| 0.205923| 0.005223| -0.689179)
0.140000,(0.000093| 0.000383| -0.000864),(-0.011715| -0.006518| -0.011019| 0.999849),(-0.033208| 0.009419| 0.014689),(0.242175| -0.772089| -0.287268| 0.512550),(-0.046498| 0.017752| 0.027775),(0.431351| -0.637683| -0.350088| 0.533607),(-0.065724| 0.031762| 0.052154),(0.371561| -0.570534| -0.448797| 0.578804),(-0.071429| 0.039876| 0.070408),(-0.251801| 0.428906| 0.597116| -0.629355),(-0.032861| 0.048606| 0.022764),(0.055127| -0.040211| 0.089564| 0.993641),(-0.049215| 0.085270| 0.053213),(0.096127| -0.067152| 0.143023| 0.982749),(-0.059762| 0.097306| 0.073249),(0.419788| -0.027397| 0.228576| 0.877941),(-0.064963| 0.096106| 0.087141),(-0.563253| 0.006108| -0.261005| -0.783955),(-0.017989| 0.050676| 0.026118),(0.079044| -0.069442| -0.013431| 0.994359),(-0.027067| 0.088816| 0.058590),(0.105470| -0.084119| 0.013287| 0.990769),(-0.035615| 0.101536| 0.082043),(-0.521701| 0.088225| -0.143847| -0.836273),(-0.041803| 0.096447| 0.096839),(-0.719810| 0.081727| -0.208042| -0.657201),(-0.003523| 0.047593| 0.029909),(0.090238| -0.054893| -0.095361| 0.989823),(-0.005467| 0.080985| 0.061763),(0.153807| -0.075219| -0.061363| 0.983321),(-0.011334| 0.091017| 0.085409),(-0.566427| 0.118231| -0.073983| -0.812225),(-0.017709| 0.085370| 0.099697),(-0.734515| 0.130628| -0.138873| -0.651259),(0.009229| 0.040202| 0.035154),(0.073723| -0.078975| -0.199132| 0.973999),(0.015420| 0.069821| 0.061910),(0.113381| -0.063090| -0.222329| 0.966299),(0.015397| 0.079629| 0.079473),(-0.516351| 0.175533| 0.075648| -0.834774),(0.010039| 0.077195| 0.090967),(-0.693872| 0.222355| -0.013274| -0.684780)
0.160000,(0.000290| 0.000391| -0.001471),(-0.009497| -0.007568| -0.010687| 0.999869),(-0.033352| 0.010147| 0.014252),(0.229482| -0.782597| -0.268806| 0.512468),(-0.046597| 0.019084| 0.026982),(0.420684| -0.653981| -0.332260| 0.533795),(-0.065796| 0.034089| 0.050798),(0.364017| -0.587815| -0.432762| 0.578518),(-0.071559| 0.042740| 0.068797),(-0.249692| 0.446784| 0.585555| -0.628620),(-0.032198| 0.049496| 0.021574),(0.052615| -0.039743| 0.090933| 0.993672),(-0.048231| 0.087245| 0.050864),(0.085511| -0.067953| 0.145457| 0.983317),(-0.058925| 0.100427| 0.070241),(0.397502| -0.034411| 0.232979| 0.886865),(-0.064521| 0.100256| 0.084043),(-0.537766| 0.016019| -0.267062| -0.799518),(-0.017335| 0.051321| 0.025107),(0.077436| -0.071475| -0.011103| 0.994370),(-0.026051| 0.090346| 0.056620),(0.100712| -0.086390| 0.016063| 0.991028),(-0.034651| 0.104185| 0.079652),(-0.502756| 0.096673| -0.149073| -0.845972),(-0.041216| 0.100197| 0.094658),(-0.696933| 0.093706| -0.214984| -0.677706),(-0.002999| 0.048005| 0.029185),(0.090175| -0.058765| -0.093112| 0.989821),(-0.004744| 0.082070| 0.060334),(0.152192| -0.080713| -0.056452| 0.983431),(-0.010791| 0.092869| 0.083699),(-0.556389| 0.128599| -0.084221| -0.816579),(-0.017500| 0.087917| 0.098113),(-0.721073| 0.142909| -0.150704| -0.660998),(0.009503| 0.040441| 0.034780),(0.074707| -0.084497| -0.196643| 0.973967),(0.015993| 0.070612| 0.060864),(0.106064| -0.069666| -0.219505| 0.967324),(0.016002| 0.081047| 0.078054),(-0.506873| 0.186990| 0.064136| -0.839048),(0.010449| 0.079082| 0.089528),(-0.686721| 0.236173| -0.030363| -0.686815)
0.180000,(0.000590| 0.000750| -0.002956),(-0.017675| -0.014785| -0.020425| 0.999526),(-0.033100| 0.011670| 0.012882),(0.213372| -0.793920| -0.237068| 0.517651),(-0.046292| 0.021281| 0.025213),(0.408113| -0.673791| -0.300512| 0.537720),(-0.065460| 0.037390| 0.048395),(0.356545| -0.608901| -0.403235| 0.582681),(-0.071298| 0.046634| 0.066107),(-0.251083| 0.468806| 0.562021| -0.633491),(-0.031041| 0.051190| 0.019392),(0.056205| -0.032905| 0.101393| 0.992712),(-0.046706| 0.090133| 0.047398),(0.079183| -0.061920| 0.156857| 0.982493),(-0.057544| 0.104596| 0.066032),(0.376610| -0.037388| 0.247390| 0.891945),(-0.063576| 0.105582| 0.079719),(-0.512137| 0.023480| -0.283372| -0.810472),(-0.016190| 0.052739| 0.023134),(0.082331| -0.068325| 0.000917| 0.994260),(-0.024496| 0.092733| 0.053590),(0.101526| -0.083228| 0.028446| 0.990937),(-0.033141| 0.107826| 0.076147),(-0.485116| 0.103035| -0.165526| -0.852436),(-0.040124| 0.105081| 0.091373),(-0.672761| 0.105802| -0.233311| -0.694093),(-0.002003| 0.049160| 0.027540),(0.097348| -0.058411| -0.081119| 0.990218),(-0.003531| 0.083955| 0.057917),(0.156921| -0.082301| -0.041039| 0.983320),(-0.009782| 0.095612| 0.080969),(-0.548391| 0.138504| -0.107008| -0.817700),(-0.016866| 0.091454| 0.095522),(-0.707356| 0.156529| -0.175176| -0.666678),(0.010214| 0.041401| 0.033528),(0.083334| -0.086675| -0.184361| 0.975476),(0.017032| 0.072168| 0.058878),(0.105423| -0.073131| -0.206873| 0.969918),(0.017077| 0.083300| 0.075651),(-0.500194| 0.198485| 0.039417| -0.841936),(0.011308| 0.081874| 0.087106),(-0.679715| 0.251905| -0.061257| -0.686133)
0.200000,(0.000667| 0.000671| -0.002615),(-0.008734| 0.000209| -0.006383| 0.999942),(-0.033523| 0.012195| 0.012984),(0.194681| -0.806647| -0.220595| 0.512599),(-0.046624| 0.022776| 0.024557),(0.387940| -0.697873| -0.279793| 0.533096),(-0.065567| 0.040518| 0.046616),(0.336350| -0.632806| -0.389586| 0.578488),(-0.071100| 0.050652| 0.063862),(0.230246| -0.488511| -0.560171| 0.628134),(-0.030302| 0.051841| 0.018328),(0.048251| -0.037372| 0.094794| 0.993624),(-0.045148| 0.092058| 0.044856),(0.068361| -0.066164| 0.151907| 0.983806),(-0.055799| 0.107722| 0.062700),(0.353008| -0.045634| 0.240304| 0.903082),(-0.061986| 0.109806| 0.076120),(-0.490196| 0.033060| -0.277919| -0.825455),(-0.015459| 0.053096| 0.022194),(0.074150| -0.075754| -0.004657| 0.994355),(-0.023097| 0.094030| 0.051477),(0.099563| -0.091956| 0.027275| 0.990398),(-0.031676| 0.110252| 0.073576),(0.462066| -0.113909| 0.160631| 0.864707),(-0.038891| 0.108929| 0.088862),(-0.642274| 0.118202| -0.227679| -0.722270),(-0.001434| 0.049269| 0.026879),(0.089819| -0.068119| -0.086789| 0.989828),(-0.002502| 0.084813| 0.056311),(0.156189| -0.094952| -0.040895| 0.982302),(-0.008856| 0.097364| 0.079082),(-0.531735| 0.151336| -0.106212| -0.826483),(-0.016182| 0.094248| 0.093764),(-0.687088| 0.169441| -0.174634| -0.684619),(0.010500| 0.041384| 0.033237),(0.075859| -0.098497| -0.189278| 0.974021),(0.017444| 0.072658| 0.057897),(0.108052| -0.094690| -0.198745| 0.969463),(0.017035| 0.084232| 0.074461),(0.490529| -0.215632| -0.026912| 0.843896),(0.011009| 0.083370| 0.085860),(-0.663052| 0.264973| -0.073146| -0.696276)
