System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.040000,(-0.000074| 0.000340| -0.000485),(0.001480| 0.001356| 0.000805| 0.999998),(-0.035996| -0.005101| 0.000806),(0.640061| -0.555575| -0.138101| 0.512432),(-0.059316| 0.000009| 0.003831),(0.707659| -0.474878| -0.087303| 0.515837),(-0.096049| 0.010098| 0.014244),(0.668361| -0.418325| -0.250787| 0.561609),(-0.111160| 0.017884| 0.028482),(0.553550| -0.293570| -0.502710| 0.595552),(-0.059455| 0.033194| 0.007329),(0.031660| -0.023195| 0.104449| 0.993756),(-0.098988| 0.060235| 0.030700),(0.042352| 0.016761| 0.065744| 0.996796),(-0.122083| 0.076288| 0.047068),(0.103196| 0.049539| 0.113588| 0.986912),(-0.133962| 0.082609| 0.057293),(0.137672| 0.068688| 0.139983| 0.978128),(-0.044193| 0.038380| 0.015116),(0.100008| -0.027493| 0.018748| 0.994430),(-0.079869| 0.067931| 0.040417),(0.090343| -0.029030| 0.006477| 0.995467),(-0.101952| 0.085065| 0.056980),(0.146417| -0.003283| 0.054164| 0.987734),(-0.125155| 0.100886| 0.073721),(0.189896| 0.017036| 0.091386| 0.977393),(-0.032803| 0.042196| 0.024580),(0.131228| -0.000412| -0.054335| 0.989862),(-0.059934| 0.069486| 0.051148),(0.140397| -0.008042| -0.032865| 0.989517),(-0.085459| 0.092753| 0.075124),(0.188304| 0.009508| 0.006683| 0.982042),(-0.097253| 0.100000| 0.087137),(0.242246| 0.029476| 0.052099| 0.968367),(-0.019741| 0.038911| 0.033517),(0.164105| -0.017378| -0.155574| 0.973943),(-0.041940| 0.069904| 0.062806),(0.194181| -0.027299| -0.109630| 0.974438),(-0.052267| 0.078834| 0.074150),(0.243046| -0.014838| -0.068592| 0.967473),(-0.065622| 0.091920| 0.090803),(0.294485| -0.002226| -0.023142| 0.955373)
0.060000,(-0.000066| 0.000205| -0.000340),(-0.000162| 0.001268| 0.001391| 0.999998),(-0.036005| -0.005176| 0.000864),(0.640985| -0.554781| -0.139591| 0.511733),(-0.059327| -0.000092| 0.003913),(0.708556| -0.473885| -0.088924| 0.515242),(-0.096073| 0.009945| 0.014344),(0.669064| -0.417706| -0.251766| 0.560793),(-0.111207| 0.017709| 0.028570),(0.553966| -0.293555| -0.503187| 0.594768),(-0.059501| 0.033088| 0.007409),(0.032089| -0.023920| 0.103529| 0.993821),(-0.099042| 0.060104| 0.030794),(0.042100| 0.015577| 0.064528| 0.996906),(-0.122143| 0.076140| 0.047156),(0.103643| 0.048876| 0.112821| 0.986986),(-0.134022| 0.082438| 0.057392),(0.138129| 0.068121| 0.139167| 0.978219),(-0.044236| 0.038293| 0.015181),(0.100297| -0.028099| 0.017710| 0.994403),(-0.079914| 0.067814| 0.040508),(0.090380| -0.029779| 0.005275| 0.995448),(-0.101995| 0.084924| 0.057086),(0.146964| -0.003691| 0.053279| 0.987699),(-0.125199| 0.100700| 0.073854),(0.190571| 0.016776| 0.090524| 0.977347),(-0.032842| 0.042120| 0.024635),(0.131337| -0.000964| -0.055425| 0.989787),(-0.059969| 0.069379| 0.051230),(0.140551| -0.008509| -0.034064| 0.989451),(-0.085489| 0.092614| 0.075234),(0.188575| 0.009170| 0.005466| 0.982001),(-0.097275| 0.099847| 0.087260),(0.242432| 0.029207| 0.050685| 0.968403),(-0.019767| 0.038847| 0.033559),(0.164068| -0.017867| -0.156705| 0.973759),(-0.041956| 0.069822| 0.062873),(0.193995| -0.027537| -0.111338| 0.974275),(-0.052260| 0.078752| 0.074230),(0.243365| -0.014871| -0.070027| 0.967289),(-0.065602| 0.091815| 0.090905),(0.294891| -0.002157| -0.024652| 0.955211)
0.080000,(0.000047| 0.000247| 0.000085),(-0.001092| -0.000461| 0.000806| 0.999999),(-0.035967| -0.005156| 0.000803),(0.642506| -0.553026| -0.138757| 0.511952),(-0.059304| -0.000162| 0.003874),(0.710284| -0.471505| -0.087760| 0.515245),(-0.096083| 0.009729| 0.014325),(0.670850| -0.415787| -0.250076| 0.560842),(-0.111253| 0.017430| 0.028543),(0.555633| -0.292359| -0.501546| 0.595189),(-0.059562| 0.033035| 0.007348),(0.032955| -0.022519| 0.104019| 0.993774),(-0.099136| 0.059984| 0.030739),(0.042082| 0.016295| 0.064503| 0.996897),(-0.122250| 0.075956| 0.047106),(0.105739| 0.050998| 0.114442| 0.986469),(-0.134127| 0.082157| 0.057389),(0.140713| 0.070659| 0.141153| 0.977386),(-0.044298| 0.038276| 0.015106),(0.101148| -0.026674| 0.018188| 0.994348),(-0.079999| 0.067724| 0.040467),(0.091175| -0.028256| 0.005489| 0.995419),(-0.102084| 0.084741| 0.057097),(0.149492| -0.001176| 0.054927| 0.987236),(-0.125297| 0.100373| 0.073938),(0.193917| 0.019817| 0.092865| 0.976412),(-0.032899| 0.042136| 0.024538),(0.132108| 0.000418| -0.054996| 0.989709),(-0.060044| 0.069350| 0.051149),(0.141069| -0.007066| -0.033988| 0.989391),(-0.085562| 0.092552| 0.075158),(0.189350| 0.010861| 0.005719| 0.981833),(-0.097338| 0.099755| 0.087197),(0.243432| 0.031147| 0.051097| 0.968070),(-0.019804| 0.038898| 0.033449),(0.164834| -0.016576| -0.156269| 0.973722),(-0.042015| 0.069835| 0.062774),(0.194939| -0.025858| -0.111090| 0.974161),(-0.052322| 0.078703| 0.074166),(0.245779| -0.012674| -0.068562| 0.966815),(-0.065678| 0.091678| 0.090867),(0.297692| 0.000282| -0.022833| 0.954389)
0.100000,(0.000018| -0.000030| -0.000005),(-0.000863| 0.000500| 0.000930| 0.999999),(-0.035998| -0.005240| 0.000841),(0.643442| -0.552499| -0.138798| 0.511334),(-0.059341| -0.000280| 0.003911),(0.711300| -0.470676| -0.087691| 0.514613),(-0.096133| 0.009564| 0.014355),(0.671741| -0.415249| -0.249995| 0.560210),(-0.111313| 0.017251| 0.028566),(0.556199| -0.292278| -0.501612| 0.594644),(-0.059627| 0.032925| 0.007367),(0.033606| -0.022692| 0.103511| 0.993802),(-0.099210| 0.059873| 0.030742),(0.042314| 0.015906| 0.063596| 0.996951),(-0.122324| 0.075844| 0.047096),(0.106581| 0.051103| 0.113937| 0.986432),(-0.134199| 0.082029| 0.057388),(0.141789| 0.070979| 0.140795| 0.977259),(-0.044359| 0.038190| 0.015114),(0.101749| -0.026856| 0.017639| 0.994291),(-0.080069| 0.067625| 0.040475),(0.091836| -0.028284| 0.004798| 0.995361),(-0.102152| 0.084619| 0.057122),(0.150738| -0.000807| 0.054657| 0.987061),(-0.125368| 0.100207| 0.073986),(0.195220| 0.020323| 0.092586| 0.976168),(-0.032962| 0.042063| 0.024541),(0.132622| 0.000194| -0.055595| 0.989606),(-0.060109| 0.069284| 0.051142),(0.141407| -0.007197| -0.034908| 0.989310),(-0.085622| 0.092496| 0.075139),(0.189625| 0.010808| 0.004683| 0.981786),(-0.097390| 0.099715| 0.087172),(0.243564| 0.031158| 0.049873| 0.968101),(-0.019861| 0.038843| 0.033450),(0.165295| -0.016870| -0.156861| 0.973544),(-0.042085| 0.069780| 0.062763),(0.195336| -0.026008| -0.111877| 0.973987),(-0.052386| 0.078649| 0.074152),(0.246486| -0.012635| -0.069141| 0.966594),(-0.065747| 0.091614| 0.090855),(0.298287| 0.000402| -0.023552| 0.954186)
0.120000,(-0.000128| -0.000175| 0.000153),(-0.000504| 0.000040| 0.000121| 1.000000),(-0.035950| -0.005219| 0.000830),(0.643812| -0.552094| -0.137864| 0.511559),(-0.059307| -0.000320| 0.003884),(0.711936| -0.469805| -0.086341| 0.514757),(-0.096123| 0.009435| 0.014309),(0.672213| -0.414487| -0.248996| 0.560652),(-0.111304| 0.017096| 0.028522),(0.556090| -0.291571| -0.501281| 0.595372),(-0.059647| 0.032903| 0.007296),(0.033436| -0.022524| 0.104169| 0.993742),(-0.099249| 0.059845| 0.030630),(0.041806| 0.016118| 0.063556| 0.996972),(-0.122357| 0.075803| 0.046980),(0.107462| 0.052163| 0.114915| 0.986167),(-0.134224| 0.081946| 0.057298),(0.142901| 0.072226| 0.141898| 0.976846),(-0.044386| 0.038197| 0.015037),(0.101574| -0.026732| 0.018296| 0.994301),(-0.080121| 0.067603| 0.040386),(0.092134| -0.027598| 0.005362| 0.995350),(-0.102206| 0.084529| 0.057072),(0.152317| 0.000560| 0.056240| 0.986730),(-0.125427| 0.100010| 0.073985),(0.197742| 0.022206| 0.094928| 0.975394),(-0.032993| 0.042102| 0.024456),(0.132417| 0.000256| -0.054976| 0.989668),(-0.060167| 0.069308| 0.051035),(0.141518| -0.006751| -0.034356| 0.989316),(-0.085695| 0.092479| 0.075032),(0.190466| 0.011602| 0.005797| 0.981608),(-0.097465| 0.099643| 0.087086),(0.244864| 0.032214| 0.051334| 0.967662),(-0.019887| 0.038912| 0.033370),(0.165099| -0.016902| -0.156235| 0.973677),(-0.042144| 0.069860| 0.062640),(0.195135| -0.025819| -0.111451| 0.974081),(-0.052454| 0.078706| 0.074029),(0.247340| -0.012096| -0.067838| 0.966476),(-0.065833| 0.091638| 0.090725),(0.299063| 0.001007| -0.022319| 0.953972)
0.140000,(0.000003| 0.000096| 0.000190),(-0.000445| -0.000817| -0.000118| 1.000000),(-0.035954| -0.005191| 0.000742),(0.644011| -0.551781| -0.136431| 0.512030),(-0.059325| -0.000333| 0.003753),(0.712361| -0.469264| -0.084134| 0.515029),(-0.096157| 0.009369| 0.014139),(0.672560| -0.413770| -0.247776| 0.561306),(-0.111321| 0.017022| 0.028362),(0.555945| -0.290479| -0.501193| 0.596114),(-0.059682| 0.032916| 0.007150),(0.033227| -0.021800| 0.104667| 0.993713),(-0.099296| 0.059859| 0.030456),(0.041813| 0.017230| 0.063742| 0.996941),(-0.122396| 0.075799| 0.046821),(0.108525| 0.053905| 0.115941| 0.985837),(-0.134254| 0.081898| 0.057173),(0.144295| 0.074173| 0.143191| 0.976306),(-0.044426| 0.038224| 0.014900),(0.101453| -0.026079| 0.018867| 0.994320),(-0.080181| 0.067613| 0.040237),(0.092736| -0.026285| 0.006064| 0.995325),(-0.102272| 0.084476| 0.056967),(0.153954| 0.002410| 0.057858| 0.986380),(-0.125501| 0.099869| 0.073919),(0.199914| 0.024351| 0.097039| 0.974692),(-0.033039| 0.042147| 0.024318),(0.132366| 0.000840| -0.054402| 0.989707),(-0.060237| 0.069347| 0.050877),(0.141981| -0.005728| -0.033643| 0.989281),(-0.085784| 0.092467| 0.074883),(0.191833| 0.013011| 0.007308| 0.981314),(-0.097565| 0.099560| 0.086965),(0.246928| 0.033933| 0.053511| 0.966960),(-0.019934| 0.038974| 0.033243),(0.165156| -0.016422| -0.155618| 0.973775),(-0.042231| 0.069924| 0.062475),(0.195709| -0.025121| -0.110396| 0.974105),(-0.052565| 0.078728| 0.073874),(0.248645| -0.011157| -0.066054| 0.966275),(-0.065979| 0.091603| 0.090566),(0.301105| 0.002187| -0.019747| 0.953384)
0.160000,(-0.000126| -0.000030| 0.000009),(-0.000216| -0.000856| -0.000035| 1.000000),(-0.035930| -0.005213| 0.000771),(0.644182| -0.551615| -0.135078| 0.512353),(-0.059307| -0.000388| 0.003774),(0.712773| -0.468439| -0.082853| 0.515418),(-0.096152| 0.009267| 0.014150),(0.673050| -0.412945| -0.246671| 0.561813),(-0.111323| 0.016904| 0.028373),(0.556482| -0.289708| -0.500348| 0.596698),(-0.059680| 0.032886| 0.007121),(0.032895| -0.021421| 0.104937| 0.993704),(-0.099315| 0.059836| 0.030381),(0.041828| 0.018110| 0.063768| 0.996923),(-0.122412| 0.075754| 0.046760),(0.109534| 0.055363| 0.116818| 0.985541),(-0.134265| 0.081811| 0.057140),(0.145550| 0.075786| 0.144291| 0.975834),(-0.044434| 0.038207| 0.014879),(0.101242| -0.025743| 0.019236| 0.994343),(-0.080215| 0.067596| 0.040180),(0.092984| -0.025400| 0.006317| 0.995324),(-0.102314| 0.084422| 0.056930),(0.155117| 0.003762| 0.058972| 0.986127),(-0.125552| 0.099743| 0.073911),(0.201756| 0.026051| 0.098811| 0.974091),(-0.033059| 0.042140| 0.024307),(0.132254| 0.001132| -0.054008| 0.989743),(-0.060292| 0.069333| 0.050835),(0.142405| -0.005007| -0.033065| 0.989243),(-0.085869| 0.092407| 0.074846),(0.192905| 0.014012| 0.008514| 0.981081),(-0.097667| 0.099444| 0.086946),(0.248359| 0.035109| 0.055137| 0.966460),(-0.019962| 0.038980| 0.033247),(0.165191| -0.016192| -0.155170| 0.973844),(-0.042298| 0.069929| 0.062451),(0.196252| -0.024468| -0.109795| 0.974080),(-0.052648| 0.078710| 0.073851),(0.249480| -0.010417| -0.065075| 0.966135),(-0.066084| 0.091560| 0.090543),(0.301837| 0.002935| -0.018748| 0.953171)
0.180000,(-0.000034| 0.000033| 0.000169),(-0.000848| -0.000233| 0.000341| 1.000000),(-0.035882| -0.005184| 0.000739),(0.644692| -0.551477| -0.133668| 0.512230),(-0.059263| -0.000380| 0.003757),(0.713335| -0.467591| -0.082242| 0.515509),(-0.096117| 0.009244| 0.014141),(0.673657| -0.412505| -0.245733| 0.561819),(-0.111309| 0.016878| 0.028350),(0.557305| -0.290069| -0.499132| 0.596774),(-0.059670| 0.032908| 0.007004),(0.032848| -0.021445| 0.105060| 0.993692),(-0.099336| 0.059847| 0.030222),(0.042526| 0.018859| 0.063954| 0.996868),(-0.122440| 0.075751| 0.046611),(0.110040| 0.056113| 0.116849| 0.985438),(-0.134293| 0.081807| 0.056994),(0.145790| 0.076446| 0.144111| 0.975773),(-0.044439| 0.038250| 0.014770),(0.101257| -0.025861| 0.019414| 0.994335),(-0.080267| 0.067620| 0.040028),(0.093906| -0.024870| 0.006913| 0.995246),(-0.102394| 0.084390| 0.056797),(0.156452| 0.004624| 0.059941| 0.985854),(-0.125654| 0.099661| 0.073786),(0.202954| 0.026952| 0.099683| 0.973728),(-0.033074| 0.042209| 0.024202),(0.132300| 0.000916| -0.053854| 0.989745),(-0.060363| 0.069404| 0.050671),(0.142891| -0.005043| -0.032504| 0.989192),(-0.085995| 0.092451| 0.074649),(0.193809| 0.014255| 0.009484| 0.980890),(-0.097820| 0.099446| 0.086748),(0.249675| 0.035662| 0.056521| 0.966021),(-0.019982| 0.039076| 0.033157),(0.165320| -0.016552| -0.154965| 0.973849),(-0.042417| 0.069996| 0.062307),(0.197985| -0.024824| -0.107595| 0.973966),(-0.052861| 0.078677| 0.073713),(0.251822| -0.010426| -0.062201| 0.965716),(-0.066386| 0.091407| 0.090401),(0.306012| 0.003579| -0.014026| 0.951918)
0.200000,(-0.000155| 0.000098| 0.000099),(-0.000068| 0.000954| 0.000031| 1.000000),(-0.035848| -0.005197| 0.000833),(0.644478| -0.551772| -0.134239| 0.512030),(-0.059226| -0.000379| 0.003856),(0.712982| -0.468180| -0.082962| 0.515346),(-0.096074| 0.009269| 0.014244),(0.673132| -0.413221| -0.246397| 0.561632),(-0.111262| 0.016922| 0.028447),(0.556580| -0.290989| -0.499630| 0.596586),(-0.059639| 0.032896| 0.007094),(0.032754| -0.022048| 0.105098| 0.993678),(-0.099300| 0.059840| 0.030316),(0.042374| 0.018199| 0.064024| 0.996882),(-0.122400| 0.075766| 0.046695),(0.109185| 0.055060| 0.116245| 0.985664),(-0.134254| 0.081857| 0.057059),(0.144803| 0.075322| 0.143334| 0.976122),(-0.044407| 0.038246| 0.014841),(0.101056| -0.026486| 0.019368| 0.994340),(-0.080227| 0.067635| 0.040090),(0.093385| -0.025735| 0.006741| 0.995275),(-0.102347| 0.084449| 0.056831),(0.155291| 0.003463| 0.059094| 0.986094),(-0.125597| 0.099784| 0.073792),(0.201423| 0.025619| 0.098413| 0.974211),(-0.033037| 0.042213| 0.024266),(0.132004| 0.000270| -0.053950| 0.989780),(-0.060324| 0.069411| 0.050733),(0.142729| -0.005755| -0.032373| 0.989216),(-0.085955| 0.092470| 0.074709),(0.193165| 0.013378| 0.009115| 0.981033),(-0.097776| 0.099492| 0.086797),(0.248754| 0.034686| 0.055808| 0.966335),(-0.019939| 0.039090| 0.033212),(0.164903| -0.017219| -0.155097| 0.973887),(-0.042384| 0.069987| 0.062376),(0.198586| -0.025389| -0.106800| 0.973916),(-0.052852| 0.078631| 0.073793),(0.252036| -0.011058| -0.061818| 0.965678),(-0.066387| 0.091325| 0.090496),(0.307153| 0.003237| -0.012915| 0.951567)
0.220000,(-0.000141| 0.000065| 0.000098),(0.000312| 0.000511| -0.000202| 1.000000),(-0.035819| -0.005209| 0.000928),(0.644113| -0.552036| -0.134836| 0.512049),(-0.059194| -0.000382| 0.003960),(0.712579| -0.468621| -0.083635| 0.515395),(-0.096034| 0.009284| 0.014362),(0.672630| -0.413622| -0.246995| 0.561675),(-0.111216| 0.016942| 0.028569),(0.555975| -0.291301| -0.500065| 0.596633),(-0.059602| 0.032888| 0.007205),(0.032576| -0.022388| 0.105217| 0.993663),(-0.099249| 0.059824| 0.030459),(0.042437| 0.018095| 0.064293| 0.996864),(-0.122339| 0.075748| 0.046859),(0.108854| 0.054662| 0.116131| 0.985737),(-0.134186| 0.081852| 0.057223),(0.144261| 0.074765| 0.143018| 0.976292),(-0.044369| 0.038236| 0.014941),(0.100815| -0.026812| 0.019436| 0.994354),(-0.080175| 0.067629| 0.040206),(0.093050| -0.026119| 0.006777| 0.995296),(-0.102285| 0.084462| 0.056944),(0.154554| 0.002831| 0.058721| 0.986234),(-0.125522| 0.099830| 0.073904),(0.200406| 0.024813| 0.097740| 0.974509),(-0.032994| 0.042200| 0.024362),(0.131718| -0.000034| -0.053895| 0.989821),(-0.060271| 0.069397| 0.050842),(0.142442| -0.006152| -0.032238| 0.989259),(-0.085891| 0.092461| 0.074829),(0.192619| 0.012849| 0.008983| 0.981148),(-0.097709| 0.099498| 0.086912),(0.248145| 0.034095| 0.055555| 0.966528),(-0.019893| 0.039077| 0.033299),(0.164542| -0.017490| -0.155075| 0.973947),(-0.042331| 0.069955| 0.062490),(0.198745| -0.025638| -0.106325| 0.973929),(-0.052809| 0.078577| 0.073917),(0.252004| -0.011383| -0.061560| 0.965699),(-0.066342| 0.091248| 0.090638),(0.307584| 0.003006| -0.012302| 0.951437)
