System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.040000,(0.001833| 0.000810| 0.002320),(0.012152| 0.008139| 0.003578| 0.999887),(-0.032876| 0.007568| 0.008251),(0.435354| -0.730095| 0.126430| 0.511316),(-0.047847| 0.018609| 0.012045),(0.550710| -0.645955| 0.065445| 0.524574),(-0.077333| 0.041495| 0.021802),(-0.504380| 0.659520| 0.030575| -0.556507),(-0.083365| 0.053912| 0.028438),(-0.397333| 0.662164| 0.214190| -0.598154),(-0.042977| 0.045679| -0.004615),(0.050987| 0.019930| 0.095883| 0.993886),(-0.064495| 0.081143| 0.007702),(0.200190| 0.084884| 0.139739| 0.966019),(-0.081248| 0.102283| 0.024403),(0.405523| 0.184395| 0.161229| 0.880656),(-0.083426| 0.103330| 0.036219),(0.506706| 0.233777| 0.168792| 0.812469),(-0.027849| 0.050102| -0.003304),(0.088822| -0.049984| 0.020285| 0.994586),(-0.045644| 0.091663| 0.007230),(0.159000| -0.024110| 0.032335| 0.986454),(-0.063525| 0.124834| 0.023707),(0.417648| 0.072914| 0.091859| 0.901008),(-0.066683| 0.124386| 0.036574),(0.555242| 0.128006| 0.123711| 0.812414),(-0.013954| 0.052307| 0.000586),(0.102466| -0.075985| -0.058377| 0.990111),(-0.024468| 0.093897| 0.008823),(0.108090| -0.075035| -0.051807| 0.989951),(-0.035238| 0.127086| 0.020558),(0.343144| -0.006661| 0.012122| 0.939181),(-0.039769| 0.131726| 0.031169),(0.447042| 0.026036| 0.042269| 0.893135),(-0.001028| 0.052265| 0.007819),(0.100056| -0.151668| -0.135055| 0.974036),(-0.004125| 0.090689| 0.015085),(0.128358| -0.142852| -0.159652| 0.968312),(-0.007522| 0.117706| 0.024898),(0.367255| -0.100104| -0.072078| 0.921904),(-0.011633| 0.126872| 0.034200),(0.428273| -0.087245| -0.047186| 0.898190)
0.060000,(0.002978| 0.001105| 0.002215),(0.029291| 0.015669| 0.013326| 0.999359),(-0.033349| 0.006351| 0.009554),(0.450571| -0.727276| 0.071705| 0.512751),(-0.048337| 0.017003| 0.014249),(0.561837| -0.638026| 0.012173| 0.526416),(-0.078219| 0.038792| 0.025564),(-0.518556| 0.648082| 0.069166| -0.553450),(-0.085218| 0.050582| 0.032353),(-0.427003| 0.650822| 0.215941| -0.589465),(-0.044302| 0.044869| -0.001193),(0.047936| 0.013898| 0.089438| 0.994741),(-0.066332| 0.079077| 0.013378),(0.198840| 0.078152| 0.147188| 0.965759),(-0.084103| 0.099286| 0.030891),(0.359757| 0.159275| 0.173023| 0.902923),(-0.087232| 0.100923| 0.041810),(0.428429| 0.194219| 0.182665| 0.863343),(-0.029188| 0.049480| -0.000101),(0.084890| -0.051098| 0.009158| 0.995037),(-0.047545| 0.090034| 0.013023),(0.159688| -0.023796| 0.028991| 0.986455),(-0.066207| 0.122706| 0.030946),(0.371759| 0.057831| 0.081794| 0.922909),(-0.069637| 0.123308| 0.042775),(0.481322| 0.102160| 0.109361| 0.863674),(-0.015222| 0.051720| 0.003521),(0.096730| -0.072599| -0.071111| 0.990109),(-0.026047| 0.092809| 0.013702),(0.093673| -0.074532| -0.065623| 0.990638),(-0.036848| 0.126328| 0.025872),(0.283118| -0.019054| -0.015242| 0.958775),(-0.041029| 0.132208| 0.035229),(0.360646| 0.004963| 0.006553| 0.932667),(-0.002109| 0.051532| 0.010404),(0.093641| -0.144127| -0.151525| 0.973396),(-0.005369| 0.089611| 0.019321),(0.110888| -0.135078| -0.181325| 0.967770),(-0.008417| 0.116721| 0.029703),(0.319858| -0.099060| -0.109960| 0.935835),(-0.011843| 0.126562| 0.038576),(0.361215| -0.090975| -0.094400| 0.923221)
0.080000,(0.001921| 0.002034| 0.000879),(0.023971| 0.009533| 0.010177| 0.999616),(-0.033504| 0.005223| 0.010812),(0.462591| -0.721219| 0.030690| 0.514695),(-0.048408| 0.015759| 0.016030),(0.563936| -0.633400| -0.028084| 0.529144),(-0.078535| 0.036916| 0.028136),(-0.526747| 0.641553| 0.091845| -0.550011),(-0.086544| 0.048172| 0.034635),(-0.454538| 0.646646| 0.201400| -0.578517),(-0.045255| 0.043930| 0.001785),(0.044882| 0.010626| 0.087216| 0.995121),(-0.067810| 0.077353| 0.017540),(0.181242| 0.066794| 0.149262| 0.969748),(-0.086496| 0.097702| 0.034655),(0.295366| 0.125730| 0.171691| 0.931382),(-0.090559| 0.100692| 0.044136),(0.324462| 0.140892| 0.177149| 0.918418),(-0.030204| 0.048790| 0.002756),(0.081456| -0.050128| 0.003513| 0.995409),(-0.049161| 0.088143| 0.018320),(0.171275| -0.017319| 0.030334| 0.984604),(-0.068329| 0.119257| 0.038580),(0.370478| 0.062195| 0.079384| 0.923351),(-0.071485| 0.118942| 0.050580),(0.503496| 0.118034| 0.112584| 0.848461),(-0.016205| 0.051118| 0.006208),(0.092164| -0.067909| -0.077812| 0.990374),(-0.027502| 0.091705| 0.017852),(0.080290| -0.073198| -0.072185| 0.991456),(-0.038578| 0.125330| 0.030353),(0.237721| -0.026306| -0.030117| 0.970510),(-0.042607| 0.131921| 0.038802),(0.301947| -0.006332| -0.012140| 0.953227),(-0.002964| 0.050884| 0.012841),(0.088902| -0.135933| -0.161166| 0.973470),(-0.006692| 0.088579| 0.023171),(0.101160| -0.126634| -0.189719| 0.968369),(-0.009899| 0.115620| 0.034168),(0.285993| -0.094568| -0.127814| 0.944949),(-0.013103| 0.125724| 0.042829),(0.322503| -0.087549| -0.114458| 0.935535)
0.100000,(0.001896| 0.001363| 0.000383),(0.007555| -0.014391| 0.010674| 0.999811),(-0.034015| 0.004289| 0.009484),(0.479635| -0.707123| 0.024966| 0.518945),(-0.049034| 0.014774| 0.014533),(0.571046| -0.624770| -0.027632| 0.531795),(-0.079800| 0.035496| 0.025865),(0.541756| -0.633114| -0.076804| 0.547511),(-0.088797| 0.046351| 0.031690),(-0.486344| 0.642186| 0.161402| -0.570102),(-0.046459| 0.042974| 0.001338),(0.048131| 0.019175| 0.087869| 0.994784),(-0.070017| 0.075865| 0.017113),(0.162098| 0.065972| 0.153180| 0.972578),(-0.089850| 0.096537| 0.032938),(0.245893| 0.111841| 0.172146| 0.947309),(-0.094586| 0.100411| 0.041272),(0.261602| 0.120510| 0.175555| 0.941394),(-0.031498| 0.048100| 0.002610),(0.087572| -0.039073| 0.003689| 0.995385),(-0.051549| 0.086372| 0.019274),(0.184264| -0.002748| 0.039069| 0.982096),(-0.071728| 0.115756| 0.040608),(0.389600| 0.084758| 0.095271| 0.912114),(-0.074611| 0.113639| 0.053061),(0.570073| 0.166056| 0.145372| 0.791397),(-0.017587| 0.050628| 0.006283),(0.100180| -0.054999| -0.077751| 0.990401),(-0.029788| 0.090813| 0.018318),(0.073647| -0.065843| -0.073039| 0.992425),(-0.041598| 0.124616| 0.030069),(0.205901| -0.024167| -0.032834| 0.977723),(-0.045774| 0.131749| 0.037645),(0.267194| -0.004212| -0.013523| 0.963539),(-0.004416| 0.050485| 0.013044),(0.099858| -0.121502| -0.162503| 0.974094),(-0.008842| 0.087939| 0.023924),(0.098611| -0.114401| -0.194823| 0.969140),(-0.012336| 0.115126| 0.034669),(0.263919| -0.083846| -0.135694| 0.951264),(-0.015482| 0.125616| 0.042851),(0.295767| -0.077468| -0.123382| 0.944086)
0.120000,(0.002769| 0.001622| -0.000659),(0.007274| -0.027570| 0.004217| 0.999585),(-0.034539| 0.003781| 0.007682),(0.486022| -0.696418| 0.035580| 0.526801),(-0.049716| 0.014305| 0.012216),(0.571627| -0.619051| -0.010044| 0.538441),(-0.081076| 0.034842| 0.022251),(0.549530| -0.625770| -0.051500| 0.551159),(-0.090684| 0.045434| 0.027516),(-0.504111| 0.634341| 0.129524| -0.571582),(-0.047169| 0.042464| -0.000195),(0.045186| 0.030243| 0.091900| 0.994283),(-0.071632| 0.075023| 0.015089),(0.145295| 0.071470| 0.160253| 0.973704),(-0.092315| 0.095859| 0.029784),(0.214097| 0.111275| 0.176253| 0.954314),(-0.097409| 0.100079| 0.037552),(0.236518| 0.124183| 0.181361| 0.946439),(-0.032301| 0.047733| 0.001641),(0.088813| -0.026257| 0.008608| 0.995665),(-0.053501| 0.085032| 0.018825),(0.197966| 0.015295| 0.057396| 0.978408),(-0.074765| 0.112181| 0.041105),(0.424306| 0.115977| 0.130904| 0.888469),(-0.077158| 0.107312| 0.053887),(0.654388| 0.225276| 0.206326| 0.691705),(-0.018541| 0.050358| 0.005800),(0.105070| -0.040817| -0.072458| 0.990981),(-0.031587| 0.090296| 0.017693),(0.066782| -0.056503| -0.069044| 0.993771),(-0.044125| 0.124257| 0.028474),(0.180834| -0.019373| -0.027453| 0.982940),(-0.048567| 0.131749| 0.035304),(0.242052| 0.001074| -0.004535| 0.970252),(-0.005588| 0.050251| 0.012968),(0.109065| -0.106152| -0.158194| 0.975608),(-0.010703| 0.087549| 0.024054),(0.099129| -0.101129| -0.192737| 0.970978),(-0.014616| 0.114880| 0.034443),(0.247237| -0.073049| -0.131957| 0.957144),(-0.017881| 0.125701| 0.042116),(0.273439| -0.067756| -0.120480| 0.951906)
0.140000,(0.001955| 0.001085| -0.004074),(0.000387| -0.006139| -0.007233| 0.999955),(-0.033897| 0.004197| 0.007219),(0.482062| -0.702524| 0.044227| 0.521651),(-0.049117| 0.014795| 0.011535),(0.566810| -0.627254| -0.001955| 0.534112),(-0.080526| 0.035430| 0.021198),(0.548237| -0.631162| -0.043886| 0.546941),(-0.090177| 0.045938| 0.026582),(0.503788| -0.634809| -0.133883| 0.570342),(-0.046286| 0.042976| -0.000613),(0.047442| 0.025076| 0.099761| 0.993563),(-0.071021| 0.075291| 0.014698),(0.154820| 0.070064| 0.169117| 0.970835),(-0.091739| 0.095955| 0.029582),(0.220500| 0.108825| 0.181463| 0.952160),(-0.096764| 0.099959| 0.037636),(0.265579| 0.135393| 0.189637| 0.935508),(-0.031495| 0.048200| 0.001560),(0.092040| -0.031390| 0.016965| 0.995116),(-0.053150| 0.085250| 0.018659),(0.203084| 0.009758| 0.070657| 0.976560),(-0.074881| 0.112008| 0.040862),(0.430074| 0.110733| 0.147435| 0.883763),(-0.077423| 0.106691| 0.053494),(-0.666920| -0.224711| -0.227349| -0.673079),(-0.017834| 0.050795| 0.006032),(0.109525| -0.045696| -0.063915| 0.990874),(-0.031218| 0.090661| 0.017807),(0.067172| -0.063269| -0.058578| 0.994009),(-0.044086| 0.124633| 0.028339),(0.180861| -0.026611| -0.015032| 0.983034),(-0.048822| 0.131991| 0.035134),(0.253176| -0.002573| 0.013379| 0.967324),(-0.005025| 0.050626| 0.013468),(0.114413| -0.110615| -0.149973| 0.975798),(-0.010420| 0.087876| 0.024628),(0.101397| -0.107013| -0.182373| 0.972115),(-0.014572| 0.115294| 0.034906),(0.243431| -0.080971| -0.120276| 0.959020),(-0.018059| 0.126157| 0.042438),(0.275905| -0.074591| -0.105241| 0.952490)
0.160000,(0.004337| -0.001812| -0.005807),(-0.008706| -0.012782| -0.017315| 0.999731),(-0.033485| 0.005440| 0.005529),(0.462864| -0.717418| 0.069280| 0.516013),(-0.048518| 0.016473| 0.009493),(0.550699| -0.644895| 0.019492| 0.529586),(-0.079432| 0.038077| 0.018501),(0.533056| -0.646868| -0.029682| 0.544548),(-0.088512| 0.048952| 0.024231),(0.484467| -0.643844| -0.146801| 0.573765),(-0.044650| 0.044497| -0.002974),(0.050815| 0.021232| 0.106613| 0.992774),(-0.068609| 0.077178| 0.012430),(0.186423| 0.081279| 0.169151| 0.964380),(-0.088025| 0.097553| 0.028746),(0.281631| 0.135248| 0.181225| 0.932496),(-0.092092| 0.100556| 0.038356),(0.358673| 0.179106| 0.189597| 0.896285),(-0.029832| 0.049322| -0.000293),(0.096147| -0.037493| 0.025811| 0.994326),(-0.050846| 0.087416| 0.015369),(0.191518| -0.003374| 0.070312| 0.978962),(-0.072070| 0.116144| 0.035718),(0.412092| 0.088904| 0.144111| 0.895270),(-0.075520| 0.112790| 0.048269),(-0.606486| -0.176191| -0.208703| -0.746709),(-0.016286| 0.051672| 0.004625),(0.115527| -0.053256| -0.054378| 0.990384),(-0.029427| 0.091663| 0.016284),(0.088646| -0.065640| -0.041610| 0.993027),(-0.042396| 0.125070| 0.027738),(0.230485| -0.021361| 0.011755| 0.972770),(-0.047499| 0.131354| 0.035792),(0.323368| 0.008957| 0.047813| 0.945022),(-0.003726| 0.051266| 0.012467),(0.120938| -0.119267| -0.139608| 0.975530),(-0.009043| 0.088611| 0.023359),(0.115893| -0.116696| -0.158594| 0.973550),(-0.013644| 0.115905| 0.033599),(0.264314| -0.090731| -0.087789| 0.956138),(-0.017733| 0.126374| 0.041357),(0.314197| -0.081161| -0.062457| 0.943818)
0.180000,(0.005204| -0.002465| -0.002899),(-0.012088| -0.004574| -0.010822| 0.999858),(-0.033833| 0.006281| 0.005135),(0.442443| -0.730202| 0.091248| 0.512567),(-0.048388| 0.017950| 0.009044),(0.534969| -0.658254| 0.027542| 0.528915),(-0.078193| 0.040940| 0.018215),(0.514448| -0.659147| -0.035750| 0.547348),(-0.086032| 0.052458| 0.024628),(0.456118| -0.648719| -0.184733| 0.580512),(-0.043579| 0.045462| -0.004607),(0.049447| 0.017013| 0.102216| 0.993387),(-0.066195| 0.079506| 0.009762),(0.192877| 0.081570| 0.147384| 0.966655),(-0.084166| 0.101023| 0.025921),(0.305263| 0.140193| 0.158541| 0.928453),(-0.087618| 0.104215| 0.035877),(0.383131| 0.180919| 0.164909| 0.890665),(-0.028655| 0.049899| -0.001711),(0.094358| -0.044863| 0.023548| 0.994248),(-0.048324| 0.089355| 0.012332),(0.182114| -0.013172| 0.055308| 0.981632),(-0.068285| 0.119570| 0.031438),(0.419892| 0.079445| 0.132689| 0.894300),(-0.071856| 0.116847| 0.044126),(0.599248| 0.154587| 0.191282| 0.761851),(-0.015138| 0.051967| 0.003412),(0.114461| -0.063081| -0.055916| 0.989845),(-0.027425| 0.092399| 0.014452),(0.105393| -0.069248| -0.038577| 0.991266),(-0.039957| 0.125322| 0.026701),(0.283319| -0.015312| 0.024269| 0.958596),(-0.045137| 0.130486| 0.036051),(0.394065| 0.020395| 0.065037| 0.916552),(-0.002751| 0.051369| 0.011512),(0.119346| -0.131213| -0.139354| 0.974228),(-0.007420| 0.089008| 0.021605),(0.124843| -0.128103| -0.149029| 0.972520),(-0.012035| 0.116142| 0.031770),(0.294337| -0.098464| -0.068891| 0.948117),(-0.016498| 0.126073| 0.039969),(0.360996| -0.085303| -0.034944| 0.928000)
0.200000,(0.005020| -0.003977| -0.000231),(-0.025684| -0.007541| -0.017846| 0.999482),(-0.033441| 0.007714| 0.004070),(0.417830| -0.739243| 0.133805| 0.510915),(-0.047679| 0.019741| 0.008031),(0.524624| -0.664484| 0.054341| 0.529413),(-0.076328| 0.043831| 0.017595),(0.497132| -0.666329| -0.031578| 0.554858),(-0.082606| 0.055901| 0.024877),(-0.422932| 0.650278| 0.215835| -0.593028),(-0.041857| 0.046692| -0.007553),(0.052108| 0.020391| 0.104059| 0.992996),(-0.063221| 0.082213| 0.005057),(0.198762| 0.084187| 0.136455| 0.966843),(-0.080129| 0.104910| 0.020385),(0.332116| 0.144450| 0.155993| 0.918966),(-0.083421| 0.108174| 0.030573),(0.410001| 0.179666| 0.166139| 0.878645),(-0.026860| 0.050792| -0.004568),(0.095995| -0.046653| 0.029136| 0.993861),(-0.045217| 0.091445| 0.007707),(0.190501| -0.013280| 0.054239| 0.980098),(-0.064021| 0.122346| 0.025998),(0.456291| 0.081908| 0.141948| 0.874609),(-0.067538| 0.118809| 0.039247),(0.652432| 0.158772| 0.207267| 0.711453),(-0.013349| 0.052635| 0.000658),(0.116570| -0.069325| -0.049056| 0.989545),(-0.024520| 0.093659| 0.010608),(0.131342| -0.067124| -0.031670| 0.988555),(-0.036213| 0.126476| 0.023123),(0.331456| -0.010785| 0.037138| 0.942678),(-0.041343| 0.131035| 0.033302),(0.445394| 0.023820| 0.078218| 0.891594),(-0.001097| 0.052004| 0.008950),(0.120254| -0.141510| -0.129107| 0.974087),(-0.004905| 0.090009| 0.017867),(0.146545| -0.135060| -0.134404| 0.970680),(-0.009201| 0.117054| 0.027912),(0.334652| -0.103355| -0.047899| 0.935431),(-0.013757| 0.126628| 0.036477),(0.403906| -0.089793| -0.013434| 0.910284)
0.220000,(0.007638| -0.004009| -0.000960),(-0.023131| 0.007295| -0.011695| 0.999637),(-0.032855| 0.008762| 0.003889),(0.405475| -0.743870| 0.161456| 0.506142),(-0.046843| 0.021014| 0.008055),(0.521258| -0.668516| 0.067823| 0.526096),(-0.074306| 0.045963| 0.018334),(0.481808| -0.673462| -0.041272| 0.559112),(-0.078843| 0.058515| 0.026319),(-0.382279| 0.653943| 0.256393| -0.600404),(-0.040655| 0.047351| -0.009148),(0.057809| 0.019835| 0.104329| 0.992663),(-0.060793| 0.083926| 0.002370),(0.209128| 0.083921| 0.118283| 0.967074),(-0.076417| 0.107676| 0.017231),(0.351980| 0.142201| 0.138371| 0.914736),(-0.079349| 0.111291| 0.027492),(0.426178| 0.172506| 0.147669| 0.875676),(-0.025575| 0.051268| -0.006375),(0.099406| -0.051241| 0.031853| 0.993216),(-0.042891| 0.092526| 0.005090),(0.210465| -0.012988| 0.051243| 0.976171),(-0.060598| 0.123707| 0.023419),(0.486773| 0.080701| 0.136064| 0.859085),(-0.063863| 0.119814| 0.037052),(-0.688206| -0.156475| -0.199011| -0.679914),(-0.011990| 0.053017| -0.001315),(0.118590| -0.077603| -0.045529| 0.988859),(-0.022402| 0.094344| 0.008004),(0.157693| -0.068650| -0.025828| 0.984761),(-0.033517| 0.127104| 0.020813),(0.361031| -0.013848| 0.040073| 0.931590),(-0.038516| 0.131504| 0.031363),(0.472113| 0.018744| 0.077955| 0.877884),(0.000326| 0.052461| 0.006887),(0.119760| -0.153089| -0.122524| 0.973247),(-0.003206| 0.090613| 0.015033),(0.172134| -0.143530| -0.112963| 0.967992),(-0.007822| 0.117454| 0.025152),(0.364739| -0.109775| -0.025562| 0.924263),(-0.012675| 0.126686| 0.033937),(0.437090| -0.094820| 0.009980| 0.894350)
