System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.040000,(-0.000071| 0.000325| -0.000464),(0.001480| 0.001356| 0.000805| 0.999998),(-0.034903| -0.004946| 0.000782),(0.640061| -0.555575| -0.138101| 0.512432),(-0.054528| 0.000008| 0.003521),(0.707659| -0.474878| -0.087303| 0.515837),(-0.095385| 0.010028| 0.014145),(0.668361| -0.418325| -0.250787| 0.561609),(-0.104032| 0.016738| 0.026656),(0.553550| -0.293570| -0.502710| 0.595552),(-0.058695| 0.032770| 0.007235),(0.031660| -0.023195| 0.104449| 0.993756),(-0.095846| 0.058322| 0.029725),(0.042352| 0.016761| 0.065744| 0.996796),(-0.115992| 0.072481| 0.044719),(0.103196| 0.049539| 0.113588| 0.986912),(-0.124427| 0.076730| 0.053215),(0.137672| 0.068688| 0.139983| 0.978128),(-0.043553| 0.037824| 0.014897),(0.100008| -0.027493| 0.018748| 0.994430),(-0.080826| 0.068745| 0.040902),(0.090343| -0.029030| 0.006477| 0.995467),(-0.103239| 0.086139| 0.057699),(0.146417| -0.003283| 0.054164| 0.987734),(-0.117326| 0.094575| 0.069109),(0.189896| 0.017036| 0.091386| 0.977393),(-0.034438| 0.044299| 0.025805),(0.131228| -0.000412| -0.054335| 0.989862),(-0.061102| 0.070841| 0.052145),(0.140397| -0.008042| -0.032865| 0.989517),(-0.084506| 0.091719| 0.074286),(0.188304| 0.009508| 0.006683| 0.982042),(-0.098449| 0.101230| 0.088209),(0.242246| 0.029476| 0.052099| 0.968367),(-0.020354| 0.040118| 0.034557),(0.164105| -0.017378| -0.155574| 0.973943),(-0.041263| 0.068776| 0.061792),(0.194181| -0.027299| -0.109630| 0.974438),(-0.056493| 0.085209| 0.080145),(0.243046| -0.014838| -0.068592| 0.967473),(-0.062737| 0.087879| 0.086812),(0.294485| -0.002226| -0.023142| 0.955373)
0.060000,(-0.000063| 0.000195| -0.000325),(-0.000162| 0.001268| 0.001391| 0.999998),(-0.034912| -0.005019| 0.000838),(0.640985| -0.554781| -0.139591| 0.511733),(-0.054538| -0.000085| 0.003597),(0.708556| -0.473885| -0.088924| 0.515242),(-0.095408| 0.009877| 0.014245),(0.669064| -0.417706| -0.251766| 0.560793),(-0.104076| 0.016573| 0.026738),(0.553966| -0.293555| -0.503187| 0.594768),(-0.058741| 0.032665| 0.007315),(0.032089| -0.023920| 0.103529| 0.993821),(-0.095898| 0.058196| 0.029816),(0.042100| 0.015577| 0.064528| 0.996906),(-0.116048| 0.072341| 0.044803),(0.103643| 0.048876| 0.112821| 0.986986),(-0.124483| 0.076570| 0.053307),(0.138129| 0.068121| 0.139167| 0.978219),(-0.043595| 0.037738| 0.014961),(0.100297| -0.028099| 0.017710| 0.994403),(-0.080872| 0.068627| 0.040994),(0.090380| -0.029779| 0.005275| 0.995448),(-0.103282| 0.085995| 0.057806),(0.146964| -0.003691| 0.053279| 0.987699),(-0.117367| 0.094401| 0.069234),(0.190571| 0.016776| 0.090524| 0.977347),(-0.034478| 0.044219| 0.025863),(0.131337| -0.000964| -0.055425| 0.989787),(-0.061139| 0.070732| 0.052229),(0.140551| -0.008509| -0.034064| 0.989451),(-0.084536| 0.091581| 0.074395),(0.188575| 0.009170| 0.005466| 0.982001),(-0.098471| 0.101075| 0.088333),(0.242432| 0.029207| 0.050685| 0.968403),(-0.020381| 0.040053| 0.034600),(0.164068| -0.017867| -0.156705| 0.973759),(-0.041279| 0.068695| 0.061859),(0.193995| -0.027537| -0.111338| 0.974275),(-0.056486| 0.085120| 0.080232),(0.243365| -0.014871| -0.070027| 0.967289),(-0.062719| 0.087779| 0.086909),(0.294891| -0.002157| -0.024652| 0.955211)
0.080000,(0.000045| 0.000236| 0.000081),(-0.001092| -0.000461| 0.000806| 0.999999),(-0.034875| -0.005000| 0.000779),(0.642506| -0.553026| -0.138757| 0.511952),(-0.054517| -0.000149| 0.003562),(0.710284| -0.471505| -0.087760| 0.515245),(-0.095419| 0.009661| 0.014226),(0.670850| -0.415787| -0.250076| 0.560842),(-0.104119| 0.016313| 0.026712),(0.555633| -0.292359| -0.501546| 0.595189),(-0.058801| 0.032613| 0.007255),(0.032955| -0.022519| 0.104019| 0.993774),(-0.095989| 0.058079| 0.029764),(0.042082| 0.016295| 0.064503| 0.996897),(-0.116150| 0.072166| 0.044755),(0.105739| 0.050998| 0.114442| 0.986469),(-0.124581| 0.076310| 0.053304),(0.140713| 0.070659| 0.141153| 0.977386),(-0.043656| 0.037721| 0.014887),(0.101148| -0.026674| 0.018188| 0.994348),(-0.080958| 0.068535| 0.040952),(0.091175| -0.028256| 0.005489| 0.995419),(-0.103372| 0.085810| 0.057818),(0.149492| -0.001176| 0.054927| 0.987236),(-0.117459| 0.094094| 0.069313),(0.193917| 0.019817| 0.092865| 0.976412),(-0.034538| 0.044236| 0.025760),(0.132108| 0.000418| -0.054996| 0.989709),(-0.061215| 0.070703| 0.052147),(0.141069| -0.007066| -0.033988| 0.989391),(-0.084608| 0.091519| 0.074320),(0.189350| 0.010861| 0.005719| 0.981833),(-0.098535| 0.100982| 0.088269),(0.243432| 0.031147| 0.051097| 0.968070),(-0.020418| 0.040106| 0.034488),(0.164834| -0.016576| -0.156269| 0.973722),(-0.041337| 0.068708| 0.061761),(0.194939| -0.025858| -0.111090| 0.974161),(-0.056552| 0.085067| 0.080163),(0.245779| -0.012674| -0.068562| 0.966815),(-0.062791| 0.087648| 0.086873),(0.297692| 0.000282| -0.022833| 0.954389)
0.100000,(0.000018| -0.000029| -0.000005),(-0.000863| 0.000500| 0.000930| 0.999999),(-0.034905| -0.005081| 0.000816),(0.643442| -0.552499| -0.138798| 0.511334),(-0.054551| -0.000257| 0.003595),(0.711300| -0.470676| -0.087691| 0.514613),(-0.095468| 0.009498| 0.014256),(0.671741| -0.415249| -0.249995| 0.560210),(-0.104175| 0.016145| 0.026734),(0.556199| -0.292278| -0.501612| 0.594644),(-0.058865| 0.032505| 0.007273),(0.033606| -0.022692| 0.103511| 0.993802),(-0.096060| 0.057973| 0.029766),(0.042314| 0.015906| 0.063596| 0.996951),(-0.116221| 0.072060| 0.044746),(0.106581| 0.051103| 0.113937| 0.986432),(-0.124648| 0.076191| 0.053303),(0.141789| 0.070979| 0.140795| 0.977259),(-0.043717| 0.037637| 0.014895),(0.101749| -0.026856| 0.017639| 0.994291),(-0.081028| 0.068436| 0.040960),(0.091836| -0.028284| 0.004798| 0.995361),(-0.103440| 0.085687| 0.057843),(0.150738| -0.000807| 0.054657| 0.987061),(-0.117525| 0.093939| 0.069357),(0.195220| 0.020323| 0.092586| 0.976168),(-0.034604| 0.044159| 0.025764),(0.132622| 0.000194| -0.055595| 0.989606),(-0.061282| 0.070635| 0.052139),(0.141407| -0.007197| -0.034908| 0.989310),(-0.084667| 0.091464| 0.074301),(0.189625| 0.010808| 0.004683| 0.981786),(-0.098588| 0.100941| 0.088244),(0.243564| 0.031158| 0.049873| 0.968101),(-0.020477| 0.040049| 0.034489),(0.165295| -0.016870| -0.156861| 0.973544),(-0.041406| 0.068654| 0.061750),(0.195336| -0.026008| -0.111877| 0.973987),(-0.056622| 0.085009| 0.080148),(0.246486| -0.012635| -0.069141| 0.966594),(-0.062857| 0.087587| 0.086861),(0.298287| 0.000402| -0.023552| 0.954186)
0.120000,(-0.000122| -0.000167| 0.000146),(-0.000504| 0.000040| 0.000121| 1.000000),(-0.034859| -0.005060| 0.000805),(0.643812| -0.552094| -0.137864| 0.511559),(-0.054520| -0.000294| 0.003570),(0.711936| -0.469805| -0.086341| 0.514757),(-0.095458| 0.009370| 0.014210),(0.672213| -0.414487| -0.248996| 0.560652),(-0.104166| 0.016000| 0.026693),(0.556090| -0.291571| -0.501281| 0.595372),(-0.058885| 0.032483| 0.007203),(0.033436| -0.022524| 0.104169| 0.993742),(-0.096099| 0.057945| 0.029658),(0.041806| 0.016118| 0.063556| 0.996972),(-0.116252| 0.072021| 0.044636),(0.107462| 0.052163| 0.114915| 0.986167),(-0.124671| 0.076113| 0.053220),(0.142901| 0.072226| 0.141898| 0.976846),(-0.043743| 0.037644| 0.014819),(0.101574| -0.026732| 0.018296| 0.994301),(-0.081081| 0.068413| 0.040871),(0.092134| -0.027598| 0.005362| 0.995350),(-0.103496| 0.085595| 0.057792),(0.152317| 0.000560| 0.056240| 0.986730),(-0.117581| 0.093754| 0.069356),(0.197742| 0.022206| 0.094928| 0.975394),(-0.034636| 0.044199| 0.025675),(0.132417| 0.000256| -0.054976| 0.989668),(-0.061341| 0.070659| 0.052030),(0.141518| -0.006751| -0.034356| 0.989316),(-0.084739| 0.091448| 0.074196),(0.190466| 0.011602| 0.005797| 0.981608),(-0.098664| 0.100868| 0.088157),(0.244864| 0.032214| 0.051334| 0.967662),(-0.020505| 0.040119| 0.034406),(0.165099| -0.016902| -0.156235| 0.973677),(-0.041464| 0.068732| 0.061630),(0.195135| -0.025819| -0.111451| 0.974081),(-0.056695| 0.085070| 0.080015),(0.247340| -0.012096| -0.067838| 0.966476),(-0.062940| 0.087610| 0.086738),(0.299063| 0.001007| -0.022319| 0.953972)
0.140000,(0.000003| 0.000092| 0.000181),(-0.000445| -0.000817| -0.000118| 1.000000),(-0.034863| -0.005033| 0.000719),(0.644011| -0.551781| -0.136431| 0.512030),(-0.054536| -0.000306| 0.003450),(0.712361| -0.469264| -0.084134| 0.515029),(-0.095492| 0.009305| 0.014041),(0.672560| -0.413770| -0.247776| 0.561306),(-0.104183| 0.015931| 0.026543),(0.555945| -0.290479| -0.501193| 0.596114),(-0.058920| 0.032496| 0.007059),(0.033227| -0.021800| 0.104667| 0.993713),(-0.096144| 0.057959| 0.029489),(0.041813| 0.017230| 0.063742| 0.996941),(-0.116289| 0.072017| 0.044485),(0.108525| 0.053905| 0.115941| 0.985837),(-0.124698| 0.076069| 0.053104),(0.144295| 0.074173| 0.143191| 0.976306),(-0.043782| 0.037671| 0.014684),(0.101453| -0.026079| 0.018867| 0.994320),(-0.081142| 0.068424| 0.040719),(0.092736| -0.026285| 0.006064| 0.995325),(-0.103563| 0.085542| 0.057686),(0.153954| 0.002410| 0.057858| 0.986380),(-0.117650| 0.093622| 0.069295),(0.199914| 0.024351| 0.097039| 0.974692),(-0.034685| 0.044247| 0.025530),(0.132366| 0.000840| -0.054402| 0.989707),(-0.061412| 0.070699| 0.051869),(0.141981| -0.005728| -0.033643| 0.989281),(-0.084828| 0.091436| 0.074048),(0.191833| 0.013011| 0.007308| 0.981314),(-0.098765| 0.100784| 0.088035),(0.246928| 0.033933| 0.053511| 0.966960),(-0.020553| 0.040184| 0.034275),(0.165156| -0.016422| -0.155618| 0.973775),(-0.041549| 0.068796| 0.061467),(0.195709| -0.025121| -0.110396| 0.974105),(-0.056815| 0.085094| 0.079847),(0.248645| -0.011157| -0.066054| 0.966275),(-0.063079| 0.087577| 0.086585),(0.301105| 0.002187| -0.019747| 0.953384)
0.160000,(-0.000120| -0.000029| 0.000009),(-0.000216| -0.000856| -0.000035| 1.000000),(-0.034839| -0.005055| 0.000747),(0.644182| -0.551615| -0.135078| 0.512353),(-0.054520| -0.000356| 0.003470),(0.712773| -0.468439| -0.082853| 0.515418),(-0.095487| 0.009203| 0.014052),(0.673050| -0.412945| -0.246671| 0.561813),(-0.104185| 0.015820| 0.026554),(0.556482| -0.289708| -0.500348| 0.596698),(-0.058918| 0.032466| 0.007030),(0.032895| -0.021421| 0.104937| 0.993704),(-0.096162| 0.057936| 0.029417),(0.041828| 0.018110| 0.063768| 0.996923),(-0.116304| 0.071974| 0.044426),(0.109534| 0.055363| 0.116818| 0.985541),(-0.124709| 0.075988| 0.053073),(0.145550| 0.075786| 0.144291| 0.975834),(-0.043791| 0.037654| 0.014663),(0.101242| -0.025743| 0.019236| 0.994343),(-0.081177| 0.068406| 0.040661),(0.092984| -0.025400| 0.006317| 0.995324),(-0.103604| 0.085487| 0.057648),(0.155117| 0.003762| 0.058972| 0.986127),(-0.117698| 0.093504| 0.069287),(0.201756| 0.026051| 0.098811| 0.974091),(-0.034706| 0.044240| 0.025518),(0.132254| 0.001132| -0.054008| 0.989743),(-0.061468| 0.070685| 0.051826),(0.142405| -0.005007| -0.033065| 0.989243),(-0.084912| 0.091377| 0.074012),(0.192905| 0.014012| 0.008514| 0.981081),(-0.098868| 0.100666| 0.088015),(0.248359| 0.035109| 0.055137| 0.966460),(-0.020582| 0.040190| 0.034279),(0.165191| -0.016192| -0.155170| 0.973844),(-0.041615| 0.068801| 0.061443),(0.196252| -0.024468| -0.109795| 0.974080),(-0.056905| 0.085074| 0.079822),(0.249480| -0.010417| -0.065075| 0.966135),(-0.063179| 0.087535| 0.086563),(0.301837| 0.002935| -0.018748| 0.953171)
0.180000,(-0.000033| 0.000032| 0.000161),(-0.000848| -0.000233| 0.000341| 1.000000),(-0.034792| -0.005027| 0.000716),(0.644692| -0.551477| -0.133668| 0.512230),(-0.054479| -0.000349| 0.003453),(0.713335| -0.467591| -0.082242| 0.515509),(-0.095452| 0.009180| 0.014043),(0.673657| -0.412505| -0.245733| 0.561819),(-0.104171| 0.015796| 0.026532),(0.557305| -0.290069| -0.499132| 0.596774),(-0.058908| 0.032487| 0.006915),(0.032848| -0.021445| 0.105060| 0.993692),(-0.096183| 0.057947| 0.029263),(0.042526| 0.018859| 0.063954| 0.996868),(-0.116330| 0.071971| 0.044285),(0.110040| 0.056113| 0.116849| 0.985438),(-0.124735| 0.075985| 0.052938),(0.145790| 0.076446| 0.144111| 0.975773),(-0.043795| 0.037695| 0.014556),(0.101257| -0.025861| 0.019414| 0.994335),(-0.081229| 0.068431| 0.040508),(0.093906| -0.024870| 0.006913| 0.995246),(-0.103686| 0.085455| 0.057514),(0.156452| 0.004624| 0.059941| 0.985854),(-0.117794| 0.093427| 0.069170),(0.202954| 0.026952| 0.099683| 0.973728),(-0.034722| 0.044312| 0.025408),(0.132300| 0.000916| -0.053854| 0.989745),(-0.061540| 0.070758| 0.051659),(0.142891| -0.005043| -0.032504| 0.989192),(-0.085036| 0.091420| 0.073817),(0.193809| 0.014255| 0.009484| 0.980890),(-0.099023| 0.100668| 0.087815),(0.249675| 0.035662| 0.056521| 0.966021),(-0.020603| 0.040289| 0.034187),(0.165320| -0.016552| -0.154965| 0.973849),(-0.041733| 0.068867| 0.061301),(0.197985| -0.024824| -0.107595| 0.973966),(-0.057135| 0.085039| 0.079673),(0.251822| -0.010426| -0.062201| 0.965716),(-0.063468| 0.087390| 0.086427),(0.306012| 0.003579| -0.014026| 0.951918)
0.200000,(-0.000148| 0.000094| 0.000095),(-0.000068| 0.000954| 0.000031| 1.000000),(-0.034760| -0.005039| 0.000808),(0.644478| -0.551772| -0.134239| 0.512030),(-0.054445| -0.000349| 0.003544),(0.712982| -0.468180| -0.082962| 0.515346),(-0.095409| 0.009205| 0.014145),(0.673132| -0.413221| -0.246397| 0.561632),(-0.104127| 0.015837| 0.026623),(0.556580| -0.290989| -0.499630| 0.596586),(-0.058878| 0.032476| 0.007003),(0.032754| -0.022048| 0.105098| 0.993678),(-0.096148| 0.057940| 0.029354),(0.042374| 0.018199| 0.064024| 0.996882),(-0.116293| 0.071986| 0.044365),(0.109185| 0.055060| 0.116245| 0.985664),(-0.124698| 0.076031| 0.052998),(0.144803| 0.075322| 0.143334| 0.976122),(-0.043764| 0.037692| 0.014626),(0.101056| -0.026486| 0.019368| 0.994340),(-0.081189| 0.068445| 0.040571),(0.093385| -0.025735| 0.006741| 0.995275),(-0.103638| 0.085515| 0.057548),(0.155291| 0.003463| 0.059094| 0.986094),(-0.117740| 0.093542| 0.069176),(0.201423| 0.025619| 0.098413| 0.974211),(-0.034683| 0.044316| 0.025475),(0.132004| 0.000270| -0.053950| 0.989780),(-0.061500| 0.070765| 0.051723),(0.142729| -0.005755| -0.032373| 0.989216),(-0.084996| 0.091438| 0.073876),(0.193165| 0.013378| 0.009115| 0.981033),(-0.098978| 0.100715| 0.087864),(0.248754| 0.034686| 0.055808| 0.966335),(-0.020558| 0.040304| 0.034243),(0.164903| -0.017219| -0.155097| 0.973887),(-0.041700| 0.068858| 0.061370),(0.198586| -0.025389| -0.106800| 0.973916),(-0.057126| 0.084989| 0.079760),(0.252036| -0.011058| -0.061818| 0.965678),(-0.063469| 0.087310| 0.086519),(0.307153| 0.003237| -0.012915| 0.951567)
0.220000,(-0.000135| 0.000062| 0.000094),(0.000312| 0.000511| -0.000202| 1.000000),(-0.034732| -0.005051| 0.000900),(0.644113| -0.552036| -0.134836| 0.512049),(-0.054416| -0.000351| 0.003640),(0.712579| -0.468621| -0.083635| 0.515395),(-0.095370| 0.009220| 0.014262),(0.672630| -0.413622| -0.246995| 0.561675),(-0.104084| 0.015856| 0.026737),(0.555975| -0.291301| -0.500065| 0.596633),(-0.058840| 0.032468| 0.007113),(0.032576| -0.022388| 0.105217| 0.993663),(-0.096099| 0.057925| 0.029492),(0.042437| 0.018095| 0.064293| 0.996864),(-0.116234| 0.071968| 0.044521),(0.108854| 0.054662| 0.116131| 0.985737),(-0.124635| 0.076027| 0.053151),(0.144261| 0.074765| 0.143018| 0.976292),(-0.043726| 0.037682| 0.014724),(0.100815| -0.026812| 0.019436| 0.994354),(-0.081136| 0.068440| 0.040688),(0.093050| -0.026119| 0.006777| 0.995296),(-0.103575| 0.085528| 0.057662),(0.154554| 0.002831| 0.058721| 0.986234),(-0.117670| 0.093585| 0.069281),(0.200406| 0.024813| 0.097740| 0.974509),(-0.034638| 0.044303| 0.025576),(0.131718| -0.000034| -0.053895| 0.989821),(-0.061446| 0.070750| 0.051833),(0.142442| -0.006152| -0.032238| 0.989259),(-0.084933| 0.091430| 0.073994),(0.192619| 0.012849| 0.008983| 0.981148),(-0.098911| 0.100721| 0.087980),(0.248145| 0.034095| 0.055555| 0.966528),(-0.020510| 0.040290| 0.034333),(0.164542| -0.017490| -0.155075| 0.973947),(-0.041647| 0.068826| 0.061482),(0.198745| -0.025638| -0.106325| 0.973929),(-0.057079| 0.084930| 0.079894),(0.252004| -0.011383| -0.061560| 0.965699),(-0.063426| 0.087237| 0.086654),(0.307584| 0.003006| -0.012302| 0.951437)
