System.Single,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion
0,(1943.590772),(-0.003593| 0.025855| 0.340050),(0.368704| -0.940503| -0.068654| -0.185899),(-0.036897| 0.018939| 0.339707),(0.259598| -0.253287| -0.464965| -0.758843),(-0.057831| 0.024505| 0.338422),(0.256727| -0.288071| -0.565733| -0.754505),(-0.090920| 0.037746| 0.340640),(0.087895| -0.378539| -0.464664| -0.749961),(-0.105671| 0.051144| 0.348793),(0.165956| 0.537100| 0.334515| 0.782715),(-0.058502| 0.051334| 0.327279),(0.424578| -0.831106| -0.110851| -0.145290),(-0.098935| 0.081756| 0.332511),(0.392514| -0.880590| -0.148443| -0.130459),(-0.120907| 0.099371| 0.339028),(0.418324| -0.894319| -0.238517| -0.096695),(-0.133163| 0.108018| 0.344856),(0.421352| -0.879269| -0.281509| -0.075765),(-0.049276| 0.062475| 0.331704),(0.384234| -0.912875| -0.164632| -0.227324),(-0.086669| 0.097243| 0.338709),(0.346496| -0.861067| -0.169898| -0.205400),(-0.110719| 0.118770| 0.345681),(0.361956| -0.845837| -0.238480| -0.177220),(-0.124584| 0.129455| 0.351650),(0.402199| -0.903560| -0.306421| -0.171586),(-0.038405| 0.069697| 0.338986),(0.290266| -0.884250| -0.173628| -0.240035),(-0.067889| 0.105058| 0.347845),(0.307391| -0.927889| -0.199864| -0.246631),(-0.087909| 0.128009| 0.354909),(0.320225| -0.938616| -0.231534| -0.241756),(-0.099901| 0.140581| 0.360108),(0.330105| -0.914468| -0.282481| -0.220592),(-0.027612| 0.073246| 0.349289),(0.206937| -0.868278| -0.172679| -0.305096),(-0.048568| 0.107444| 0.356849),(0.237490| -0.938284| -0.187510| -0.332238),(-0.061314| 0.126898| 0.361491),(0.226830| -0.855243| -0.198979| -0.297800),(-0.069383| 0.137991| 0.364998),(0.258666| -0.920273| -0.251935| -0.313806),undefined
0,(3887.181544),(0.000058| -0.000025| -0.000126),(-0.000783| 0.000985| 0.000084| 1.029446),(-0.033302| -0.006921| -0.000266),(0.633234| -0.497946| 0.179355| 0.492422),(-0.054239| -0.001367| -0.001546),(0.721772| -0.451577| 0.183131| 0.528972),(-0.087331| 0.011865| 0.000670),(0.651976| -0.456415| -0.021472| 0.543622),(-0.102074| 0.025274| 0.008813),(-0.579526| 0.487936| 0.335957| -0.594778),(-0.054936| 0.025450| -0.012702),(0.021400| 0.028886| 0.100472| 0.944995),(-0.095357| 0.055888| -0.007474),(0.052222| 0.066231| 0.060705| 0.978653),(-0.117312| 0.073522| -0.000973),(0.117712| 0.130951| 0.098098| 1.000207),(-0.129555| 0.082170| 0.004874),(0.150239| 0.162835| 0.115442| 0.986523),(-0.045703| 0.036600| -0.008313),(0.101635| -0.009422| 0.038472| 1.023651),(-0.083092| 0.071365| -0.001282),(0.108955| 0.005742| 0.025093| 0.959175),(-0.107139| 0.092875| 0.005728),(0.160304| 0.052806| 0.059109| 0.950133),(-0.120999| 0.103541| 0.011737),(0.209390| 0.090183| 0.087777| 1.020705),(-0.034819| 0.043835| -0.001062),(0.133143| -0.016824| -0.036397| 0.966738),(-0.064288| 0.079207| 0.007793),(0.153349| -0.006805| -0.032264| 1.015695),(-0.084289| 0.102174| 0.014846),(0.177319| 0.009931| -0.018555| 1.031365),(-0.096267| 0.114762| 0.020034),(0.216156| 0.042533| 0.009601| 1.012449),(-0.024008| 0.047400| 0.009216),(0.171558| -0.074037| -0.111303| 0.933986),(-0.044946| 0.081614| 0.016745),(0.184060| -0.083319| -0.107907| 1.014819),(-0.057672| 0.101088| 0.021351),(0.189700| -0.062003| -0.083612| 0.929704),(-0.065728| 0.112195| 0.024838),(0.233821| -0.047962| -0.069366| 1.006962),undefined
0,(5830.772316),(-0.000019| -0.000091| -0.000107),(-0.000514| 0.000671| 0.000117| 1.029447),(-0.033296| -0.006923| -0.000213),(0.633581| -0.497621| 0.179026| 0.492423),(-0.054238| -0.001386| -0.001479),(0.722160| -0.451108| 0.182906| 0.528921),(-0.087337| 0.011826| 0.000758),(0.652117| -0.456199| -0.021667| 0.543626),(-0.102078| 0.025234| 0.008903),(-0.579270| 0.488070| 0.336102| -0.594837),(-0.054953| 0.025430| -0.012653),(0.021523| 0.028993| 0.100415| 0.944995),(-0.095377| 0.055865| -0.007417),(0.052045| 0.066028| 0.060599| 0.978683),(-0.117331| 0.073493| -0.000910),(0.118148| 0.131391| 0.098155| 1.000093),(-0.129571| 0.082131| 0.004960),(0.150743| 0.163362| 0.115454| 0.986357),(-0.045717| 0.036586| -0.008288),(0.101687| -0.009359| 0.038348| 1.023650),(-0.083116| 0.071333| -0.001226),(0.109329| 0.006104| 0.025369| 0.959123),(-0.107177| 0.092811| 0.005833),(0.160996| 0.053500| 0.059469| 0.949955),(-0.121040| 0.103452| 0.011878),(0.210107| 0.090934| 0.088059| 1.020466),(-0.034826| 0.043831| -0.001059),(0.133099| -0.016829| -0.036553| 0.966738),(-0.064289| 0.079209| 0.007796),(0.153222| -0.006866| -0.032555| 1.015705),(-0.084276| 0.102192| 0.014832),(0.176687| 0.009471| -0.019248| 1.031466),(-0.096241| 0.114802| 0.019998),(0.215469| 0.042033| 0.008754| 1.012623),(-0.024003| 0.047408| 0.009202),(0.171429| -0.074109| -0.111452| 0.933986),(-0.044924| 0.081638| 0.016705),(0.183310| -0.083795| -0.108595| 1.014842),(-0.057622| 0.101140| 0.021272),(0.188663| -0.062682| -0.084573| 0.929782),(-0.065659| 0.112269| 0.024733),(0.232971| -0.048508| -0.070283| 1.007069),undefined
0,(7774.363089),(-0.000018| -0.000039| -0.000028),(-0.000312| 0.000028| 0.000294| 1.029447),(-0.033282| -0.006930| -0.000200),(0.633875| -0.497151| 0.179291| 0.492423),(-0.054232| -0.001418| -0.001446),(0.722729| -0.450120| 0.182884| 0.528992),(-0.087346| 0.011753| 0.000819),(0.652615| -0.455347| -0.021493| 0.543749),(-0.102103| 0.025143| 0.008970),(-0.579754| 0.487441| 0.335680| -0.595120),(-0.054958| 0.025403| -0.012657),(0.021515| 0.029068| 0.100392| 0.944995),(-0.095407| 0.055810| -0.007445),(0.051875| 0.065925| 0.060850| 0.978683),(-0.117384| 0.073406| -0.000938),(0.118710| 0.132152| 0.098792| 0.999862),(-0.129633| 0.082015| 0.004956),(0.151408| 0.164295| 0.116132| 0.986021),(-0.045729| 0.036567| -0.008301),(0.101696| -0.009276| 0.038344| 1.023650),(-0.083163| 0.071276| -0.001242),(0.109626| 0.006438| 0.025916| 0.959073),(-0.107260| 0.092701| 0.005843),(0.161721| 0.054347| 0.060299| 0.949731),(-0.121142| 0.103300| 0.011918),(0.210918| 0.091960| 0.088976| 1.020127),(-0.034841| 0.043822| -0.001076),(0.133109| -0.016773| -0.036554| 0.966737),(-0.064322| 0.079190| 0.007751),(0.153069| -0.006928| -0.032604| 1.015725),(-0.084319| 0.102178| 0.014754),(0.176184| 0.009157| -0.019544| 1.031548),(-0.096286| 0.114797| 0.019892),(0.214933| 0.041744| 0.008425| 1.012753),(-0.024020| 0.047411| 0.009182),(0.171467| -0.074077| -0.111421| 0.933985),(-0.044943| 0.081648| 0.016647),(0.182697| -0.084177| -0.109189| 1.014857),(-0.057621| 0.101175| 0.021165),(0.187656| -0.063326| -0.085466| 0.929862),(-0.065644| 0.112323| 0.024593),(0.232281| -0.048906| -0.070970| 1.007161),undefined
0,(0),(-0.000017| -0.000015| 0.000048),(-0.000231| -0.000396| 0.000579| 1.029447),(-0.033260| -0.006950| -0.000205),(0.634296| -0.496357| 0.179996| 0.492426),(-0.054220| -0.001475| -0.001446),(0.723402| -0.448749| 0.183370| 0.529070),(-0.087349| 0.011645| 0.000834),(0.653252| -0.454171| -0.021434| 0.543969),(-0.102107| 0.025020| 0.009000),(-0.580223| 0.486347| 0.336019| -0.595366),(-0.054964| 0.025351| -0.012693),(0.021407| 0.029142| 0.100392| 0.944995),(-0.095448| 0.055721| -0.007546),(0.051387| 0.065602| 0.060698| 0.978740),(-0.117446| 0.073290| -0.001067),(0.119172| 0.132966| 0.099232| 0.999656),(-0.129707| 0.081866| 0.004844),(0.152045| 0.165379| 0.116701| 0.985674),(-0.045749| 0.036528| -0.008335),(0.101678| -0.009139| 0.038423| 1.023650),(-0.083232| 0.071189| -0.001315),(0.109708| 0.006670| 0.026217| 0.959054),(-0.107370| 0.092562| 0.005769),(0.162286| 0.055195| 0.061000| 0.949541),(-0.121275| 0.103118| 0.011861),(0.211587| 0.093051| 0.089829| 1.019815),(-0.034876| 0.043798| -0.001106),(0.133156| -0.016635| -0.036448| 0.966737),(-0.064398| 0.079141| 0.007677),(0.152956| -0.006880| -0.032619| 1.015743),(-0.084416| 0.102119| 0.014636),(0.175773| 0.009019| -0.019734| 1.031617),(-0.096394| 0.114738| 0.019743),(0.214456| 0.041648| 0.008238| 1.012860),(-0.024067| 0.047403| 0.009160),(0.171635| -0.073930| -0.111260| 0.933985),(-0.045021| 0.081629| 0.016582),(0.182460| -0.084274| -0.109497| 1.014858),(-0.057700| 0.101163| 0.021058),(0.187097| -0.063615| -0.085998| 0.929906),(-0.065721| 0.112320| 0.024457),(0.231865| -0.049030| -0.071371| 1.007222),undefined
0,(1943.590772),(0.000013| -0.000033| 0.000071),(-0.000404| -0.000668| 0.000750| 1.029447),(-0.033235| -0.006981| -0.000204),(0.634784| -0.495288| 0.181218| 0.492424),(-0.054206| -0.001553| -0.001466),(0.724033| -0.447181| 0.184672| 0.529082),(-0.087348| 0.011514| 0.000798),(0.653877| -0.452981| -0.021211| 0.544220),(-0.102092| 0.024883| 0.008977),(-0.580509| 0.485267| 0.336863| -0.595492),(-0.054970| 0.025276| -0.012746),(0.021230| 0.029247| 0.100403| 0.944995),(-0.095500| 0.055601| -0.007701),(0.050764| 0.065222| 0.060388| 0.978816),(-0.117523| 0.073146| -0.001278),(0.119353| 0.133649| 0.099475| 0.999520),(-0.129800| 0.081697| 0.004631),(0.152286| 0.166248| 0.117029| 0.985452),(-0.045778| 0.036470| -0.008385),(0.101638| -0.008966| 0.038570| 1.023651),(-0.083324| 0.071075| -0.001443),(0.109660| 0.006832| 0.026527| 0.959050),(-0.107510| 0.092393| 0.005610),(0.162745| 0.056062| 0.061764| 0.949363),(-0.121444| 0.102902| 0.011707),(0.212178| 0.094246| 0.090799| 1.019497),(-0.034924| 0.043761| -0.001147),(0.133225| -0.016475| -0.036255| 0.966738),(-0.064509| 0.079069| 0.007557),(0.152781| -0.006884| -0.032424| 1.015775),(-0.084568| 0.102024| 0.014455),(0.175601| 0.009096| -0.019489| 1.031650),(-0.096571| 0.114629| 0.019528),(0.214285| 0.041883| 0.008566| 1.012883),(-0.024135| 0.047390| 0.009131),(0.171885| -0.073772| -0.110971| 0.933986),(-0.045147| 0.081594| 0.016480),(0.182244| -0.084459| -0.109194| 1.014914),(-0.057857| 0.101117| 0.020897),(0.186860| -0.063736| -0.085715| 0.929971),(-0.065899| 0.112266| 0.024264),(0.231824| -0.048898| -0.070822| 1.007277),undefined
0,(3887.181544),(0.000026| -0.000036| 0.000098),(-0.000511| -0.000633| 0.000777| 1.029447),(-0.033212| -0.007016| -0.000196),(0.635308| -0.494148| 0.182490| 0.492423),(-0.054192| -0.001636| -0.001510),(0.724463| -0.445826| 0.186609| 0.528957),(-0.087343| 0.011382| 0.000697),(0.654332| -0.452138| -0.020830| 0.544388),(-0.102065| 0.024758| 0.008877),(-0.580493| 0.484590| 0.338025| -0.595399),(-0.054980| 0.025194| -0.012798),(0.021062| 0.029378| 0.100399| 0.944995),(-0.095549| 0.055480| -0.007860),(0.050125| 0.064844| 0.059827| 0.978910),(-0.117592| 0.073020| -0.001509),(0.119011| 0.133817| 0.099169| 0.999569),(-0.129882| 0.081566| 0.004372),(0.151877| 0.166472| 0.116724| 0.985513),(-0.045809| 0.036407| -0.008437),(0.101604| -0.008775| 0.038703| 1.023651),(-0.083413| 0.070962| -0.001585),(0.109458| 0.006865| 0.026618| 0.959070),(-0.107638| 0.092249| 0.005407),(0.162629| 0.056407| 0.062007| 0.949346),(-0.121595| 0.102739| 0.011477),(0.211930| 0.094662| 0.091044| 1.019488),(-0.034976| 0.043721| -0.001193),(0.133294| -0.016309| -0.036075| 0.966738),(-0.064626| 0.078989| 0.007434),(0.152736| -0.006782| -0.032111| 1.015792),(-0.084731| 0.101917| 0.014273),(0.175448| 0.009197| -0.019209| 1.031680),(-0.096761| 0.114506| 0.019311),(0.214138| 0.042156| 0.008926| 1.012900),(-0.024205| 0.047377| 0.009096),(0.172134| -0.073622| -0.110687| 0.933986),(-0.045286| 0.081550| 0.016377),(0.182357| -0.084449| -0.108490| 1.014971),(-0.058044| 0.101049| 0.020746),(0.186918| -0.063670| -0.085068| 0.930023),(-0.066116| 0.112181| 0.024086),(0.231995| -0.048619| -0.069961| 1.007311),undefined
0,(5830.772316),(0.000013| -0.000073| 0.000047),(-0.000231| -0.000230| 0.000806| 1.029447),(-0.033190| -0.007055| -0.000181),(0.635998| -0.493072| 0.182998| 0.492425),(-0.054175| -0.001709| -0.001549),(0.724733| -0.445049| 0.187936| 0.528770),(-0.087326| 0.011286| 0.000601),(0.654548| -0.451780| -0.021118| 0.544415),(-0.102014| 0.024678| 0.008786),(-0.580079| 0.484249| 0.339934| -0.594994),(-0.055002| 0.025115| -0.012808),(0.020969| 0.029456| 0.100395| 0.944995),(-0.095595| 0.055373| -0.007927),(0.049551| 0.064478| 0.058698| 0.979031),(-0.117631| 0.072939| -0.001638),(0.118158| 0.133306| 0.097923| 0.999860),(-0.129924| 0.081507| 0.004201),(0.150755| 0.165757| 0.115356| 0.985967),(-0.045849| 0.036345| -0.008448),(0.101599| -0.008598| 0.038751| 1.023651),(-0.083496| 0.070861| -0.001648),(0.109077| 0.006717| 0.026201| 0.959125),(-0.107735| 0.092148| 0.005283),(0.161859| 0.056054| 0.061381| 0.949539),(-0.121700| 0.102650| 0.011306),(0.210799| 0.094102| 0.090200| 1.019849),(-0.035031| 0.043680| -0.001203),(0.133334| -0.016118| -0.036009| 0.966738),(-0.064743| 0.078902| 0.007386),(0.152593| -0.006719| -0.031917| 1.015821),(-0.084889| 0.101802| 0.014184),(0.175052| 0.009128| -0.019156| 1.031749),(-0.096941| 0.114376| 0.019197),(0.213855| 0.042318| 0.009105| 1.012951),(-0.024270| 0.047357| 0.009090),(0.172296| -0.073403| -0.110578| 0.933986),(-0.045430| 0.081487| 0.016335),(0.182395| -0.084414| -0.107468| 1.015076),(-0.058252| 0.100948| 0.020670),(0.186849| -0.063625| -0.084187| 0.930120),(-0.066362| 0.112056| 0.023991),(0.232014| -0.048373| -0.068868| 1.007394),undefined
0,(7774.363089),(0.000010| -0.000063| -0.000005),(0.000372| 0.000207| 0.000511| 1.029447),(-0.033174| -0.007075| -0.000159),(0.636558| -0.492575| 0.182387| 0.492424),(-0.054158| -0.001740| -0.001589),(0.724557| -0.445421| 0.188600| 0.528461),(-0.087297| 0.011264| 0.000493),(0.654310| -0.452306| -0.021967| 0.544230),(-0.101947| 0.024679| 0.008681),(-0.579214| 0.484466| 0.342337| -0.594282),(-0.055023| 0.025080| -0.012756),(0.020979| 0.029400| 0.100406| 0.944996),(-0.095603| 0.055348| -0.007870),(0.048898| 0.063846| 0.056926| 0.979210),(-0.117598| 0.072993| -0.001642),(0.116431| 0.131500| 0.095545| 1.000532),(-0.129876| 0.081630| 0.004125),(0.148433| 0.163310| 0.112671| 0.987038),(-0.045878| 0.036318| -0.008391),(0.101621| -0.008531| 0.038703| 1.023651),(-0.083532| 0.070825| -0.001589),(0.108389| 0.006164| 0.025265| 0.959232),(-0.107749| 0.092157| 0.005284),(0.160417| 0.054793| 0.059947| 0.949949),(-0.121703| 0.102708| 0.011247),(0.208807| 0.092324| 0.088360| 1.020582),(-0.035064| 0.043658| -0.001144),(0.133334| -0.015964| -0.036075| 0.966738),(-0.064811| 0.078848| 0.007453),(0.152037| -0.007046| -0.031906| 1.015902),(-0.084980| 0.101735| 0.014222),(0.174123| 0.008530| -0.019379| 1.031908),(-0.097042| 0.114308| 0.019210),(0.213044| 0.041879| 0.008985| 1.013141),(-0.024303| 0.047338| 0.009147),(0.172323| -0.073157| -0.110701| 0.933986),(-0.045540| 0.081415| 0.016402),(0.182169| -0.084569| -0.105670| 1.015292),(-0.058450| 0.100822| 0.020716),(0.186377| -0.063874| -0.082724| 0.930328),(-0.066607| 0.111900| 0.024019),(0.231388| -0.048611| -0.067307| 1.007632),undefined
0,(0),(-0.000061| -0.000313| -0.000025),(0.000584| 0.000490| -0.000424| 1.029447),(-0.033182| -0.007052| -0.000139),(0.636330| -0.493300| 0.181219| 0.492424),(-0.054155| -0.001689| -0.001629),(0.723591| -0.447291| 0.188904| 0.528098),(-0.087261| 0.011381| 0.000389),(0.653221| -0.454125| -0.023116| 0.543978),(-0.101850| 0.024842| 0.008584),(-0.577368| 0.485751| 0.344980| -0.593499),(-0.055017| 0.025135| -0.012680),(0.021101| 0.029273| 0.100423| 0.944995),(-0.095532| 0.055469| -0.007706),(0.049261| 0.064099| 0.055580| 0.979252),(-0.117454| 0.073205| -0.001453),(0.115531| 0.130107| 0.093404| 1.001020),(-0.129695| 0.081916| 0.004282),(0.147210| 0.161410| 0.110334| 0.987797),(-0.045858| 0.036361| -0.008311),(0.101653| -0.008653| 0.038600| 1.023651),(-0.083445| 0.070931| -0.001461),(0.107869| 0.005577| 0.024044| 0.959326),(-0.107588| 0.092358| 0.005394),(0.159252| 0.053362| 0.058212| 0.950334),(-0.121500| 0.102987| 0.011316),(0.207227| 0.090305| 0.086210| 1.021268),(-0.035032| 0.043684| -0.001066),(0.133288| -0.016027| -0.036218| 0.966738),(-0.064747| 0.078886| 0.007591),(0.151827| -0.007304| -0.031876| 1.015933),(-0.084902| 0.101775| 0.014395),(0.174140| 0.008412| -0.019210| 1.031909),(-0.096959| 0.114339| 0.019416),(0.213602| 0.042120| 0.009500| 1.013009),(-0.024256| 0.047345| 0.009220),(0.172159| -0.073167| -0.110945| 0.933986),(-0.045509| 0.081400| 0.016523),(0.182086| -0.084752| -0.103883| 1.015476),(-0.058481| 0.100762| 0.020857),(0.186473| -0.063904| -0.080954| 0.930463),(-0.066675| 0.111808| 0.024176),(0.231518| -0.048602| -0.065351| 1.007732),undefined
