System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.071715| -0.255729| 0.314585),(0.035636| -0.943759| -0.318225| -0.082348),(0.039162| -0.248550| 0.330580),(-0.118827| -0.350515| -0.362615| -0.855295),(0.025417| -0.242257| 0.344311),(-0.216864| -0.320320| -0.546719| -0.742606),(0.005782| -0.231674| 0.369943),(-0.328108| -0.401608| -0.488468| -0.701752),(0.000452| -0.225601| 0.388977),(0.495801| 0.515442| 0.365158| 0.595954),(0.037568| -0.210369| 0.342185),(0.122800| -0.911737| -0.379018| -0.100007),(0.021136| -0.178452| 0.377435),(0.161809| -0.870331| -0.453894| -0.101597),(0.011712| -0.170225| 0.399900),(0.182189| -0.664919| -0.723349| -0.038150),(0.007717| -0.173626| 0.413845),(-0.184257| 0.532923| 0.825845| 0.004742),(0.052452| -0.207770| 0.345127),(0.026810| -0.908069| -0.389355| -0.151974),(0.042924| -0.174207| 0.382111),(0.046472| -0.881075| -0.444696| -0.154252),(0.035068| -0.165516| 0.407710),(-0.105961| 0.595309| 0.787966| 0.116142),(0.030044| -0.172758| 0.422096),(-0.131182| 0.368696| 0.916548| 0.082427),(0.067228| -0.210312| 0.348008),(-0.057138| -0.906411| -0.388232| -0.156302),(0.064997| -0.180727| 0.383315),(-0.034114| -0.866618| -0.469858| -0.164447),(0.059842| -0.174133| 0.408417),(-0.039730| 0.564728| 0.808539| 0.160529),(0.054550| -0.181758| 0.422216),(-0.076031| 0.353627| 0.921012| 0.144581),(0.080602| -0.217358| 0.351999),(-0.149953| -0.900230| -0.355157| -0.202396),(0.086604| -0.190384| 0.381396),(-0.193780| -0.875235| -0.401691| -0.187238),(0.087229| -0.182708| 0.400122),(0.092535| 0.612288| 0.743296| 0.253085),(0.082794| -0.186352| 0.411757),(0.031584| 0.424389| 0.864422| 0.267715)
0.040000,(-0.000022| 0.000054| -0.000012),(-0.000183| -0.000469| -0.000340| 1.000000),(-0.032569| 0.007201| 0.015963),(0.270808| -0.727875| -0.366438| 0.512431),(-0.046305| 0.013513| 0.029695),(0.458000| -0.586241| -0.407212| 0.529846),(-0.065933| 0.024128| 0.055323),(0.385176| -0.507862| -0.506684| 0.580506),(-0.071279| 0.030217| 0.074351),(-0.243200| 0.350053| 0.645372| -0.633887),(-0.034147| 0.045390| 0.027554),(0.060929| -0.044842| 0.082892| 0.993683),(-0.050582| 0.077314| 0.062793),(0.142158| -0.059301| 0.126842| 0.979891),(-0.060001| 0.085510| 0.085263),(0.458711| -0.013335| 0.196144| 0.866565),(-0.063993| 0.082066| 0.099198),(-0.596192| -0.010236| -0.221961| -0.771482),(-0.019265| 0.047981| 0.030508),(0.081691| -0.063324| -0.023230| 0.994373),(-0.028797| 0.081545| 0.067488),(0.141493| -0.071828| 0.000087| 0.987330),(-0.036659| 0.090198| 0.093083),(-0.550828| 0.066403| -0.107338| -0.825020),(-0.041690| 0.082909| 0.107441),(-0.741120| 0.056827| -0.160756| -0.649360),(-0.004492| 0.045430| 0.033402),(0.088314| -0.040904| -0.103869| 0.989818),(-0.006729| 0.075033| 0.068696),(0.176233| -0.056224| -0.076650| 0.979748),(-0.011893| 0.081637| 0.093788),(-0.585960| 0.089142| -0.033383| -0.804730),(-0.017200| 0.074010| 0.107579),(-0.755784| 0.099155| -0.089703| -0.641025),(0.008874| 0.038377| 0.037407),(0.068435| -0.056582| -0.208649| 0.973951),(0.014872| 0.065360| 0.066796),(0.123251| -0.028696| -0.240518| 0.962360),(0.015487| 0.073038| 0.085516),(-0.523722| 0.132927| 0.127875| -0.831681),(0.011034| 0.069387| 0.097142),(-0.693467| 0.177455| 0.058027| -0.695878)
0.060000,(0.000028| -0.000132| 0.000182),(-0.000751| -0.000500| 0.000035| 1.000000),(-0.032589| 0.007214| 0.015927),(0.271209| -0.728442| -0.365069| 0.512390),(-0.046305| 0.013570| 0.029659),(0.457604| -0.586770| -0.406688| 0.530004),(-0.065923| 0.024260| 0.055271),(0.385270| -0.509005| -0.505758| 0.580250),(-0.071299| 0.030399| 0.074282),(-0.244122| 0.352237| 0.644332| -0.633380),(-0.034177| 0.045424| 0.027456),(0.060831| -0.044758| 0.082988| 0.993685),(-0.050636| 0.077360| 0.062667),(0.143610| -0.058662| 0.127008| 0.979696),(-0.060046| 0.085495| 0.085151),(-0.461042| 0.012519| -0.196618| -0.865231),(-0.064023| 0.081991| 0.099077),(-0.598361| -0.011047| -0.222441| -0.769651),(-0.019298| 0.048019| 0.030423),(0.081704| -0.063400| -0.023084| 0.994370),(-0.028881| 0.081600| 0.067370),(0.142717| -0.071865| 0.000593| 0.987151),(-0.036778| 0.090204| 0.092960),(-0.552429| 0.066183| -0.108405| -0.823827),(-0.041817| 0.082868| 0.107289),(-0.742588| 0.056452| -0.162014| -0.647402),(-0.004528| 0.045473| 0.033338),(0.088410| -0.041102| -0.103750| 0.989813),(-0.006805| 0.075158| 0.068564),(0.175351| -0.056529| -0.076356| 0.979911),(-0.012001| 0.081838| 0.093622),(-0.585573| 0.089147| -0.034339| -0.804971),(-0.017326| 0.074243| 0.107426),(-0.755358| 0.098971| -0.090847| -0.641394),(0.008834| 0.038426| 0.037368),(0.068641| -0.056938| -0.208526| 0.973942),(0.014777| 0.065479| 0.066708),(0.122664| -0.029747| -0.239648| 0.962620),(0.015337| 0.073212| 0.085400),(-0.523916| 0.133481| 0.125989| -0.831758),(0.010855| 0.069570| 0.097015),(-0.694001| 0.177692| 0.055662| -0.695478)
0.080000,(0.000024| -0.000041| 0.000060),(-0.000412| -0.000149| 0.000235| 1.000000),(-0.032595| 0.007216| 0.015910),(0.271657| -0.728589| -0.364462| 0.512375),(-0.046299| 0.013585| 0.029648),(0.457624| -0.586739| -0.406611| 0.530080),(-0.065907| 0.024297| 0.055263),(0.385515| -0.509348| -0.505399| 0.580099),(-0.071298| 0.030455| 0.074267),(-0.244750| 0.353239| 0.643812| -0.633108),(-0.034201| 0.045436| 0.027411),(0.060894| -0.044645| 0.083001| 0.993685),(-0.050672| 0.077370| 0.062614),(0.144413| -0.058214| 0.126991| 0.979607),(-0.060072| 0.085466| 0.085108),(-0.462534| 0.011834| -0.196728| -0.864420),(-0.064031| 0.081921| 0.099028),(-0.599907| -0.011805| -0.222543| -0.768406),(-0.019323| 0.048037| 0.030381),(0.081804| -0.063358| -0.023051| 0.994365),(-0.028933| 0.081620| 0.067317),(0.143445| -0.071770| 0.000785| 0.987052),(-0.036844| 0.090196| 0.092907),(-0.553293| 0.065806| -0.108762| -0.823230),(-0.041879| 0.082836| 0.107224),(-0.743399| 0.055931| -0.162426| -0.646412),(-0.004553| 0.045499| 0.033300),(0.088522| -0.041118| -0.103732| 0.989805),(-0.006852| 0.075222| 0.068496),(0.175008| -0.056568| -0.076266| 0.979978),(-0.012059| 0.081941| 0.093542),(-0.585273| 0.088855| -0.034593| -0.805210),(-0.017385| 0.074368| 0.107359),(-0.754938| 0.098519| -0.091104| -0.641921),(0.008811| 0.038460| 0.037339),(0.068788| -0.057043| -0.208501| 0.973931),(0.014725| 0.065552| 0.066653),(0.122262| -0.030189| -0.239249| 0.962757),(0.015263| 0.073319| 0.085329),(-0.523739| 0.133427| 0.125271| -0.831987),(0.010776| 0.069692| 0.096947),(-0.693929| 0.177374| 0.054827| -0.695698)
0.100000,(0.000047| 0.000088| 0.000024),(-0.001193| -0.000607| -0.000266| 0.999999),(-0.032626| 0.007250| 0.015864),(0.271735| -0.729594| -0.362357| 0.512397),(-0.046306| 0.013668| 0.029604),(0.457138| -0.587573| -0.405623| 0.530333),(-0.065899| 0.024467| 0.055200),(0.385657| -0.510938| -0.503910| 0.579902),(-0.071328| 0.030686| 0.074183),(-0.245970| 0.356101| 0.642182| -0.632688),(-0.034226| 0.045500| 0.027271),(0.060754| -0.044474| 0.083227| 0.993682),(-0.050711| 0.077580| 0.062344),(0.142535| -0.057896| 0.126689| 0.979940),(-0.060119| 0.085807| 0.084778),(-0.461536| 0.011565| -0.196906| -0.864915),(-0.064098| 0.082321| 0.098706),(-0.599327| -0.012046| -0.222915| -0.768747),(-0.019350| 0.048103| 0.030251),(0.081784| -0.063453| -0.022754| 0.994368),(-0.029010| 0.081807| 0.067066),(0.142420| -0.072323| 0.001518| 0.987160),(-0.036978| 0.090502| 0.092601),(-0.552032| 0.066014| -0.110067| -0.823886),(-0.042045| 0.083214| 0.106943),(-0.742246| 0.055915| -0.163977| -0.647345),(-0.004584| 0.045566| 0.033196),(0.088610| -0.041410| -0.103480| 0.989811),(-0.006940| 0.075381| 0.068309),(0.174866| -0.057358| -0.075295| 0.980032),(-0.012211| 0.082160| 0.093318),(-0.585374| 0.089241| -0.036388| -0.805016),(-0.017566| 0.074610| 0.107134),(-0.755021| 0.098637| -0.093167| -0.641509),(0.008772| 0.038530| 0.037269),(0.068996| -0.057577| -0.208235| 0.973942),(0.014639| 0.065706| 0.066516),(0.122106| -0.031420| -0.238302| 0.962972),(0.015117| 0.073521| 0.085160),(-0.524659| 0.134465| 0.122990| -0.831580),(0.010588| 0.069888| 0.096756),(-0.695524| 0.178284| 0.051742| -0.694107)
0.120000,(0.000064| 0.000147| 0.000131),(-0.002711| -0.000947| -0.002063| 0.999994),(-0.032637| 0.007438| 0.015787),(0.269422| -0.732662| -0.357858| 0.512403),(-0.046336| 0.013995| 0.029441),(0.455598| -0.592100| -0.400908| 0.530209),(-0.065997| 0.025029| 0.054892),(0.385238| -0.516340| -0.499157| 0.579507),(-0.071519| 0.031391| 0.073804),(-0.247129| 0.362385| 0.638473| -0.632422),(-0.034094| 0.045753| 0.026988),(0.060407| -0.044278| 0.083613| 0.993680),(-0.050497| 0.078311| 0.061699),(0.134605| -0.058357| 0.125472| 0.981190),(-0.059899| 0.086943| 0.083914),(-0.460066| 0.012377| -0.197650| -0.865518),(-0.063911| 0.083548| 0.097845),(-0.600974| -0.011223| -0.224377| -0.767046),(-0.019214| 0.048321| 0.029978),(0.081560| -0.063918| -0.022224| 0.994369),(-0.028789| 0.082340| 0.066534),(0.139726| -0.072957| 0.001720| 0.987497),(-0.036753| 0.091217| 0.091932),(-0.553846| 0.067650| -0.112338| -0.822228),(-0.041869| 0.083928| 0.106252),(-0.744254| 0.057917| -0.166689| -0.644164),(-0.004464| 0.045739| 0.032966),(0.088630| -0.042342| -0.103055| 0.989814),(-0.006754| 0.075778| 0.067896),(0.173940| -0.058386| -0.074839| 0.980171),(-0.012042| 0.082677| 0.092819),(-0.587241| 0.091623| -0.038754| -0.803276),(-0.017460| 0.075128| 0.106606),(-0.757014| 0.101398| -0.096155| -0.638281),(0.008856| 0.038671| 0.037104),(0.069147| -0.058998| -0.207759| 0.973948),(0.014731| 0.065984| 0.066224),(0.122906| -0.034271| -0.236637| 0.963184),(0.015105| 0.073825| 0.084812),(-0.528692| 0.138768| 0.118160| -0.829015),(0.010461| 0.070137| 0.096338),(-0.699872| 0.182728| 0.045494| -0.688999)
0.140000,(0.000063| 0.000142| 0.000125),(-0.002616| -0.000924| -0.001940| 0.999994),(-0.032626| 0.007637| 0.015670),(0.267751| -0.735155| -0.353772| 0.512545),(-0.046339| 0.014298| 0.029260),(0.454562| -0.595777| -0.396708| 0.530138),(-0.066051| 0.025511| 0.054601),(0.385126| -0.520707| -0.494950| 0.579281),(-0.071642| 0.031981| 0.073460),(-0.248338| 0.367460| 0.635130| -0.632386),(-0.033976| 0.046002| 0.026715),(0.060671| -0.043900| 0.084330| 0.993620),(-0.050318| 0.078920| 0.061151),(0.129134| -0.058452| 0.124984| 0.981981),(-0.059715| 0.087857| 0.083203),(-0.459396| 0.012862| -0.198651| -0.865637),(-0.063752| 0.084530| 0.097136),(-0.602592| -0.010662| -0.225898| -0.765336),(-0.019092| 0.048543| 0.029711),(0.081929| -0.064107| -0.021378| 0.994345),(-0.028605| 0.082801| 0.066072),(0.138219| -0.073282| 0.002340| 0.987684),(-0.036567| 0.091815| 0.091367),(-0.555594| 0.068863| -0.114541| -0.820642),(-0.041719| 0.084526| 0.105670),(-0.746033| 0.059481| -0.169188| -0.641305),(-0.004355| 0.045927| 0.032733),(0.089204| -0.042935| -0.102299| 0.989815),(-0.006596| 0.076137| 0.067524),(0.173781| -0.059075| -0.074026| 0.980220),(-0.011898| 0.083126| 0.092382),(-0.589033| 0.093455| -0.041050| -0.801636),(-0.017364| 0.075578| 0.106147),(-0.758784| 0.103578| -0.098895| -0.635404),(0.008938| 0.038835| 0.036921),(0.069827| -0.060016| -0.206963| 0.974007),(0.014818| 0.066253| 0.065944),(0.124067| -0.036411| -0.234937| 0.963372),(0.015113| 0.074115| 0.084489),(-0.532130| 0.142110| 0.113971| -0.826833),(0.010382| 0.070385| 0.095962),(-0.703423| 0.186222| 0.040232| -0.684762)
0.160000,(0.000190| 0.000338| -0.000110),(-0.004471| -0.001714| -0.003859| 0.999981),(-0.032682| 0.007892| 0.015614),(0.263033| -0.740510| -0.346134| 0.512495),(-0.046382| 0.014782| 0.029105),(0.451154| -0.602682| -0.390016| 0.530210),(-0.066084| 0.026375| 0.054286),(0.382730| -0.528088| -0.488982| 0.579256),(-0.071686| 0.033058| 0.073068),(-0.247544| 0.375017| 0.631028| -0.632367),(-0.033744| 0.046382| 0.026293),(0.059771| -0.043680| 0.084784| 0.993645),(-0.049999| 0.079795| 0.060292),(0.125841| -0.059784| 0.126823| 0.982093),(-0.059497| 0.089113| 0.082153),(0.455174| -0.015717| 0.201466| 0.867169),(-0.063677| 0.086074| 0.096118),(-0.595932| -0.006768| -0.228720| -0.769745),(-0.018851| 0.048834| 0.029319),(0.081237| -0.065027| -0.020658| 0.994357),(-0.028201| 0.083684| 0.065179),(0.131746| -0.074938| 0.002694| 0.988443),(-0.036175| 0.093196| 0.090220),(-0.553415| 0.072444| -0.117780| -0.821347),(-0.041447| 0.086096| 0.104567),(-0.745209| 0.063722| -0.173480| -0.640709),(-0.004147| 0.046129| 0.032420),(0.088961| -0.044659| -0.101744| 0.989818),(-0.006253| 0.076799| 0.066837),(0.169521| -0.061352| -0.073272| 0.980882),(-0.011585| 0.084133| 0.091509),(-0.589495| 0.098043| -0.045247| -0.800523),(-0.017171| 0.076655| 0.105247),(-0.761511| 0.108832| -0.104872| -0.630284),(0.009076| 0.038973| 0.036723),(0.069817| -0.062549| -0.206311| 0.973986),(0.015014| 0.066623| 0.065518),(0.124841| -0.040926| -0.232750| 0.963622),(0.015180| 0.074564| 0.083967),(-0.536847| 0.149286| 0.106886| -0.823459),(0.010277| 0.070792| 0.095342),(-0.708995| 0.193967| 0.030673| -0.677319)
0.180000,(0.000001| 0.000777| -0.000692),(-0.011863| -0.010731| -0.017830| 0.999713),(-0.032833| 0.008987| 0.015154),(0.243222| -0.757660| -0.322788| 0.512447),(-0.046495| 0.016665| 0.028257),(0.436883| -0.626193| -0.367981| 0.530665),(-0.066188| 0.029520| 0.052840),(0.373257| -0.551708| -0.469617| 0.579446),(-0.071865| 0.036820| 0.071378),(-0.246123| 0.396976| 0.617938| -0.632445),(-0.032654| 0.047771| 0.024888),(0.056069| -0.043767| 0.086885| 0.993676),(-0.048617| 0.082655| 0.057534),(0.115092| -0.065843| 0.135164| 0.981911),(-0.058560| 0.093037| 0.078744),(0.442452| -0.029633| 0.216850| 0.869675),(-0.063304| 0.090671| 0.092672),(-0.583032| 0.010411| -0.246966| -0.773934),(-0.017752| 0.049775| 0.028170),(0.078969| -0.068431| -0.017526| 0.994371),(-0.026579| 0.086022| 0.062785),(0.121455| -0.080442| 0.006814| 0.989309),(-0.034750| 0.096911| 0.087277),(-0.537646| 0.089595| -0.130491| -0.828180),(-0.040649| 0.090820| 0.101892),(-0.724115| 0.086366| -0.188677| -0.657723),(-0.003225| 0.046626| 0.031664),(0.089133| -0.050335| -0.098880| 0.989820),(-0.004920| 0.078280| 0.065225),(0.165482| -0.069129| -0.068599| 0.981392),(-0.010474| 0.086604| 0.089573),(-0.580304| 0.117606| -0.059573| -0.803659),(-0.016615| 0.079850| 0.103472),(-0.749045| 0.132905| -0.122402| -0.637405),(0.009633| 0.039109| 0.036436),(0.071572| -0.070076| -0.203388| 0.973961),(0.015992| 0.067347| 0.064588),(0.122544| -0.051069| -0.228998| 0.964331),(0.016066| 0.075851| 0.082744),(-0.532789| 0.171431| 0.089831| -0.823819),(0.010742| 0.072475| 0.094033),(-0.706777| 0.221204| 0.005901| -0.671937)
0.200000,(-0.000086| 0.000474| -0.000578),(-0.007304| -0.006772| -0.011459| 0.999885),(-0.032793| 0.009697| 0.014791),(0.231675| -0.766365| -0.308645| 0.513565),(-0.046428| 0.017789| 0.027686),(0.428491| -0.638921| -0.354169| 0.531733),(-0.066090| 0.031306| 0.051958),(0.367442| -0.564107| -0.457684| 0.580771),(-0.071769| 0.038923| 0.070377),(-0.244895| 0.408042| 0.609629| -0.633941),(-0.031940| 0.048620| 0.024049),(0.055206| -0.042684| 0.089968| 0.993497),(-0.047719| 0.084180| 0.056066),(0.113218| -0.067395| 0.142019| 0.981056),(-0.057871| 0.095012| 0.077008),(0.437413| -0.036166| 0.226947| 0.869400),(-0.062894| 0.092968| 0.090910),(-0.577200| 0.019099| -0.258404| -0.774405),(-0.017034| 0.050383| 0.027471),(0.078864| -0.069238| -0.013808| 0.994382),(-0.025614| 0.087219| 0.061542),(0.121009| -0.082618| 0.012319| 0.989131),(-0.033926| 0.098668| 0.085832),(-0.530730| 0.098369| -0.139930| -0.830102),(-0.040148| 0.093074| 0.100560),(-0.713275| 0.098287| -0.199137| -0.664773),(-0.002606| 0.046998| 0.031171),(0.090407| -0.052470| -0.095269| 0.989948),(-0.004103| 0.079074| 0.064350),(0.166942| -0.072846| -0.063221| 0.981237),(-0.009804| 0.087816| 0.088572),(-0.576444| 0.128005| -0.069793| -0.804025),(-0.016237| 0.081419| 0.102537),(-0.742637| 0.145988| -0.134099| -0.639683),(0.010054| 0.039287| 0.036185),(0.073702| -0.073273| -0.199746| 0.974321),(0.016661| 0.067831| 0.063995),(0.121598| -0.055516| -0.225087| 0.965126),(0.016732| 0.076691| 0.081994),(-0.528103| 0.182340| 0.079451| -0.825558),(0.011219| 0.073585| 0.093260),(-0.704307| 0.235778| -0.009161| -0.669535)
