System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0,020000,(-0.003593| 0.025855| 0.340050),(0.358158| -0.913600| -0.066691| -0.180582),(-0.036897| 0.018939| 0.339707),(0.270125| -0.263558| -0.483819| -0.789613),(-0.057831| 0.024505| 0.338422),(0.251957| -0.282719| -0.555221| -0.740485),(-0.090920| 0.037746| 0.340640),(0.091174| -0.392659| -0.481997| -0.777936),(-0.105671| 0.051144| 0.348793),(0.162690| 0.526528| 0.327931| 0.767308),(-0.058502| 0.051334| 0.327279),(0.446455| -0.873928| -0.116563| -0.152776),(-0.098935| 0.081756| 0.332511),(0.398834| -0.894768| -0.150833| -0.132560),(-0.120907| 0.099371| 0.339028),(0.409995| -0.876513| -0.233768| -0.094770),(-0.133163| 0.108018| 0.344856),(0.414039| -0.864007| -0.276623| -0.074450),(-0.049276| 0.062475| 0.331704),(0.373244| -0.886764| -0.159923| -0.220822),(-0.086669| 0.097243| 0.338709),(0.358808| -0.891663| -0.175935| -0.212699),(-0.110719| 0.118770| 0.345681),(0.374380| -0.874869| -0.246666| -0.183303),(-0.124584| 0.129455| 0.351650),(0.383217| -0.860916| -0.291960| -0.163488),(-0.038405| 0.069697| 0.338986),(0.297195| -0.905357| -0.177773| -0.245765),(-0.067889| 0.105058| 0.347845),(0.299096| -0.902848| -0.194471| -0.239976),(-0.087909| 0.128009| 0.354909),(0.305935| -0.896731| -0.221202| -0.230968),(-0.099901| 0.140581| 0.360108),(0.318578| -0.882534| -0.272617| -0.212889),(-0.027612| 0.073246| 0.349289),(0.215790| -0.905424| -0.180067| -0.318149),(-0.048568| 0.107444| 0.356849),(0.228280| -0.901896| -0.180238| -0.319353),(-0.061314| 0.126898| 0.361491),(0.237630| -0.895962| -0.208453| -0.311979),(-0.069383| 0.137991| 0.364998),(0.249392| -0.887278| -0.242903| -0.302555)
0,040000,(0.000058| -0.000025| -0.000126),(-0.000761| 0.000957| 0.000082| 0.999999),(-0.033302| -0.006921| -0.000266),(0.658910| -0.518137| 0.186628| 0.512389),(-0.054239| -0.001367| -0.001546),(0.708360| -0.443186| 0.179729| 0.519143),(-0.087331| 0.011865| 0.000670),(0.676296| -0.473440| -0.022273| 0.563900),(-0.102074| 0.025274| 0.008813),(-0.568119| 0.478332| 0.329344| -0.583071),(-0.054936| 0.025450| -0.012702),(0.022503| 0.030375| 0.105649| 0.993685),(-0.095357| 0.055888| -0.007474),(0.053063| 0.067298| 0.061683| 0.994410),(-0.117312| 0.073522| -0.000973),(0.115369| 0.128344| 0.096145| 0.980293),(-0.129555| 0.082170| 0.004874),(0.147632| 0.160009| 0.113439| 0.969399),(-0.045703| 0.036600| -0.008313),(0.098728| -0.009153| 0.037372| 0.994371),(-0.083092| 0.071365| -0.001282),(0.112827| 0.005947| 0.025985| 0.993257),(-0.107139| 0.092875| 0.005728),(0.165807| 0.054619| 0.061138| 0.982745),(-0.120999| 0.103541| 0.011737),(0.199508| 0.085927| 0.083635| 0.972532),(-0.034819| 0.043835| -0.001062),(0.136322| -0.017226| -0.037266| 0.989814),(-0.064288| 0.079207| 0.007793),(0.149211| -0.006622| -0.031394| 0.988285),(-0.084289| 0.102174| 0.014846),(0.169407| 0.009488| -0.017727| 0.985341),(-0.096267| 0.114762| 0.020034),(0.208608| 0.041048| 0.009266| 0.977094),(-0.024008| 0.047400| 0.009216),(0.178898| -0.077205| -0.116065| 0.973943),(-0.044946| 0.081614| 0.016745),(0.176922| -0.080088| -0.103723| 0.975462),(-0.057672| 0.101088| 0.021351),(0.198732| -0.064956| -0.087593| 0.973968),(-0.065728| 0.112195| 0.024838),(0.225438| -0.046243| -0.066879| 0.970859)
0,060000,(-0.000019| -0.000091| -0.000107),(-0.000500| 0.000652| 0.000114| 1.000000),(-0.033296| -0.006923| -0.000213),(0.659271| -0.517799| 0.186286| 0.512390),(-0.054238| -0.001386| -0.001479),(0.708741| -0.442726| 0.179508| 0.519093),(-0.087337| 0.011826| 0.000758),(0.676442| -0.473216| -0.022476| 0.563904),(-0.102078| 0.025234| 0.008903),(-0.567868| 0.478463| 0.329486| -0.583128),(-0.054953| 0.025430| -0.012653),(0.022633| 0.030487| 0.105589| 0.993685),(-0.095377| 0.055865| -0.007417),(0.052883| 0.067092| 0.061575| 0.994440),(-0.117331| 0.073493| -0.000910),(0.115796| 0.128775| 0.096201| 0.980181),(-0.129571| 0.082131| 0.004960),(0.148127| 0.160527| 0.113450| 0.969236),(-0.045717| 0.036586| -0.008288),(0.098779| -0.009092| 0.037252| 0.994370),(-0.083116| 0.071333| -0.001226),(0.113214| 0.006321| 0.026271| 0.993203),(-0.107177| 0.092811| 0.005833),(0.166522| 0.055337| 0.061511| 0.982560),(-0.121040| 0.103452| 0.011878),(0.200191| 0.086643| 0.083903| 0.972305),(-0.034826| 0.043831| -0.001059),(0.136276| -0.017231| -0.037426| 0.989814),(-0.064289| 0.079209| 0.007796),(0.149087| -0.006681| -0.031677| 0.988294),(-0.084276| 0.102192| 0.014832),(0.168803| 0.009049| -0.018390| 0.985437),(-0.096241| 0.114802| 0.019998),(0.207945| 0.040566| 0.008449| 0.977262),(-0.024003| 0.047408| 0.009202),(0.178763| -0.077280| -0.116221| 0.973943),(-0.044924| 0.081638| 0.016705),(0.176201| -0.080546| -0.104384| 0.975484),(-0.057622| 0.101140| 0.021272),(0.197646| -0.065667| -0.088600| 0.974050),(-0.065659| 0.112269| 0.024733),(0.224619| -0.046769| -0.067764| 0.970962)
0,080000,(-0.000018| -0.000039| -0.000028),(-0.000304| 0.000028| 0.000286| 1.000000),(-0.033282| -0.006930| -0.000200),(0.659577| -0.517310| 0.186561| 0.512390),(-0.054232| -0.001418| -0.001446),(0.709300| -0.441756| 0.179486| 0.519163),(-0.087346| 0.011753| 0.000819),(0.676959| -0.472332| -0.022295| 0.564032),(-0.102103| 0.025143| 0.008970),(-0.568342| 0.477846| 0.329073| -0.583406),(-0.054958| 0.025403| -0.012657),(0.022624| 0.030566| 0.105565| 0.993685),(-0.095407| 0.055810| -0.007445),(0.052711| 0.066987| 0.061830| 0.994440),(-0.117384| 0.073406| -0.000938),(0.116347| 0.129521| 0.096825| 0.979955),(-0.129633| 0.082015| 0.004956),(0.148780| 0.161444| 0.114117| 0.968906),(-0.045729| 0.036567| -0.008301),(0.098788| -0.009011| 0.037248| 0.994370),(-0.083163| 0.071276| -0.001242),(0.113522| 0.006667| 0.026837| 0.993151),(-0.107260| 0.092701| 0.005843),(0.167272| 0.056213| 0.062369| 0.982329),(-0.121142| 0.103300| 0.011918),(0.200964| 0.087620| 0.084777| 0.971982),(-0.034841| 0.043822| -0.001076),(0.136287| -0.017174| -0.037427| 0.989813),(-0.064322| 0.079190| 0.007751),(0.148939| -0.006742| -0.031725| 0.988314),(-0.084319| 0.102178| 0.014754),(0.168322| 0.008749| -0.018672| 0.985516),(-0.096286| 0.114797| 0.019892),(0.207428| 0.040287| 0.008131| 0.977387),(-0.024020| 0.047411| 0.009182),(0.178803| -0.077247| -0.116188| 0.973942),(-0.044943| 0.081648| 0.016647),(0.175612| -0.080913| -0.104955| 0.975499),(-0.057621| 0.101175| 0.021165),(0.196591| -0.066342| -0.089536| 0.974133),(-0.065644| 0.112323| 0.024593),(0.223953| -0.047153| -0.068426| 0.971051)
0,100000,(-0.000017| -0.000015| 0.000048),(-0.000225| -0.000385| 0.000563| 1.000000),(-0.033260| -0.006950| -0.000205),(0.660015| -0.516483| 0.187295| 0.512393),(-0.054220| -0.001475| -0.001446),(0.709960| -0.440411| 0.179963| 0.519239),(-0.087349| 0.011645| 0.000834),(0.677620| -0.471113| -0.022234| 0.564260),(-0.102107| 0.025020| 0.009000),(-0.568802| 0.476774| 0.329405| -0.583647),(-0.054964| 0.025351| -0.012693),(0.022510| 0.030644| 0.105565| 0.993685),(-0.095448| 0.055721| -0.007546),(0.052215| 0.066659| 0.061676| 0.994498),(-0.117446| 0.073290| -0.001067),(0.116800| 0.130319| 0.097257| 0.979753),(-0.129707| 0.081866| 0.004844),(0.149406| 0.162509| 0.114676| 0.968565),(-0.045749| 0.036528| -0.008335),(0.098770| -0.008878| 0.037324| 0.994370),(-0.083232| 0.071189| -0.001315),(0.113607| 0.006908| 0.027149| 0.993131),(-0.107370| 0.092562| 0.005769),(0.167857| 0.057090| 0.063094| 0.982132),(-0.121275| 0.103118| 0.011861),(0.201601| 0.088660| 0.085590| 0.971684),(-0.034876| 0.043798| -0.001106),(0.136335| -0.017033| -0.037319| 0.989813),(-0.064398| 0.079141| 0.007677),(0.148829| -0.006695| -0.031739| 0.988331),(-0.084416| 0.102119| 0.014636),(0.167930| 0.008617| -0.018854| 0.985581),(-0.096394| 0.114738| 0.019743),(0.206967| 0.040194| 0.007951| 0.977490),(-0.024067| 0.047403| 0.009160),(0.178978| -0.077093| -0.116020| 0.973942),(-0.045021| 0.081629| 0.016582),(0.175384| -0.081006| -0.105251| 0.975500),(-0.057700| 0.101163| 0.021058),(0.196005| -0.066644| -0.090093| 0.974179),(-0.065721| 0.112320| 0.024457),(0.223552| -0.047273| -0.068813| 0.971110)
0,120000,(0.000013| -0.000033| 0.000071),(-0.000393| -0.000649| 0.000729| 1.000000),(-0.033235| -0.006981| -0.000204),(0.660523| -0.515371| 0.188566| 0.512391),(-0.054206| -0.001553| -0.001466),(0.710579| -0.438872| 0.181241| 0.519251),(-0.087348| 0.011514| 0.000798),(0.678268| -0.469878| -0.022003| 0.564520),(-0.102092| 0.024883| 0.008977),(-0.569082| 0.475715| 0.330232| -0.583770),(-0.054970| 0.025276| -0.012746),(0.022324| 0.030754| 0.105577| 0.993685),(-0.095500| 0.055601| -0.007701),(0.051582| 0.066273| 0.061361| 0.994576),(-0.117523| 0.073146| -0.001278),(0.116977| 0.130988| 0.097495| 0.979619),(-0.129800| 0.081697| 0.004631),(0.149643| 0.163363| 0.114998| 0.968347),(-0.045778| 0.036470| -0.008385),(0.098731| -0.008710| 0.037467| 0.994371),(-0.083324| 0.071075| -0.001443),(0.113557| 0.007075| 0.027470| 0.993127),(-0.107510| 0.092393| 0.005610),(0.168331| 0.057987| 0.063884| 0.981948),(-0.121444| 0.102902| 0.011707),(0.202165| 0.089798| 0.086514| 0.971381),(-0.034924| 0.043761| -0.001147),(0.136405| -0.016869| -0.037121| 0.989814),(-0.064509| 0.079069| 0.007557),(0.148658| -0.006699| -0.031549| 0.988363),(-0.084568| 0.102024| 0.014455),(0.167765| 0.008691| -0.018620| 0.985613),(-0.096571| 0.114629| 0.019528),(0.206802| 0.040421| 0.008267| 0.977513),(-0.024135| 0.047390| 0.009131),(0.179239| -0.076928| -0.115719| 0.973943),(-0.045147| 0.081594| 0.016480),(0.175177| -0.081184| -0.104960| 0.975554),(-0.057857| 0.101117| 0.020897),(0.195757| -0.066771| -0.089796| 0.974247),(-0.065899| 0.112266| 0.024264),(0.223513| -0.047145| -0.068283| 0.971163)
0,140000,(0.000026| -0.000036| 0.000098),(-0.000497| -0.000615| 0.000755| 1.000000),(-0.033212| -0.007016| -0.000196),(0.661068| -0.514185| 0.189890| 0.512390),(-0.054192| -0.001636| -0.001510),(0.711001| -0.437542| 0.183142| 0.519128),(-0.087343| 0.011382| 0.000697),(0.678740| -0.469004| -0.021607| 0.564695),(-0.102065| 0.024758| 0.008877),(-0.569067| 0.475052| 0.331372| -0.583679),(-0.054980| 0.025194| -0.012798),(0.022148| 0.030892| 0.105573| 0.993685),(-0.095549| 0.055480| -0.007860),(0.050933| 0.065888| 0.060791| 0.994671),(-0.117592| 0.073020| -0.001509),(0.116642| 0.131153| 0.097195| 0.979667),(-0.129882| 0.081566| 0.004372),(0.149241| 0.163583| 0.114698| 0.968407),(-0.045809| 0.036407| -0.008437),(0.098698| -0.008524| 0.037596| 0.994371),(-0.083413| 0.070962| -0.001585),(0.113348| 0.007109| 0.027564| 0.993148),(-0.107638| 0.092249| 0.005407),(0.168211| 0.058344| 0.064136| 0.981931),(-0.121595| 0.102739| 0.011477),(0.201928| 0.090195| 0.086748| 0.971373),(-0.034976| 0.043721| -0.001193),(0.136476| -0.016699| -0.036937| 0.989814),(-0.064626| 0.078989| 0.007434),(0.148615| -0.006599| -0.031245| 0.988379),(-0.084731| 0.101917| 0.014273),(0.167619| 0.008787| -0.018352| 0.985642),(-0.096761| 0.114506| 0.019311),(0.206661| 0.040684| 0.008615| 0.977529),(-0.024205| 0.047377| 0.009096),(0.179498| -0.076772| -0.115423| 0.973943),(-0.045286| 0.081550| 0.016377),(0.175285| -0.081174| -0.104283| 0.975608),(-0.058044| 0.101049| 0.020746),(0.195818| -0.066702| -0.089119| 0.974302),(-0.066116| 0.112181| 0.024086),(0.223678| -0.046876| -0.067453| 0.971196)
0,160000,(0.000013| -0.000073| 0.000047),(-0.000225| -0.000224| 0.000783| 1.000000),(-0.033190| -0.007055| -0.000181),(0.661786| -0.513065| 0.190419| 0.512392),(-0.054175| -0.001709| -0.001549),(0.711266| -0.436780| 0.184444| 0.518945),(-0.087326| 0.011286| 0.000601),(0.678964| -0.468632| -0.021906| 0.564723),(-0.102014| 0.024678| 0.008786),(-0.568661| 0.474717| 0.333243| -0.583282),(-0.055002| 0.025115| -0.012808),(0.022050| 0.030974| 0.105568| 0.993685),(-0.095595| 0.055373| -0.007927),(0.050349| 0.065517| 0.059644| 0.994794),(-0.117631| 0.072939| -0.001638),(0.115806| 0.130652| 0.095974| 0.979953),(-0.129924| 0.081507| 0.004201),(0.148139| 0.162880| 0.113354| 0.968853),(-0.045849| 0.036345| -0.008448),(0.098693| -0.008353| 0.037643| 0.994371),(-0.083496| 0.070861| -0.001648),(0.112953| 0.006956| 0.027132| 0.993205),(-0.107735| 0.092148| 0.005283),(0.167415| 0.057978| 0.063488| 0.982130),(-0.121700| 0.102650| 0.011306),(0.200851| 0.089661| 0.085943| 0.971717),(-0.035031| 0.043680| -0.001203),(0.136517| -0.016503| -0.036869| 0.989814),(-0.064743| 0.078902| 0.007386),(0.148475| -0.006538| -0.031056| 0.988407),(-0.084889| 0.101802| 0.014184),(0.167241| 0.008721| -0.018302| 0.985708),(-0.096941| 0.114376| 0.019197),(0.206387| 0.040841| 0.008788| 0.977578),(-0.024270| 0.047357| 0.009090),(0.179667| -0.076544| -0.115309| 0.973943),(-0.045430| 0.081487| 0.016335),(0.175322| -0.081141| -0.103301| 0.975709),(-0.058252| 0.100948| 0.020670),(0.195745| -0.066655| -0.088196| 0.974404),(-0.066362| 0.112056| 0.023991),(0.223696| -0.046639| -0.066399| 0.971276)
0,180000,(0.000010| -0.000063| -0.000005),(0.000362| 0.000202| 0.000497| 1.000000),(-0.033174| -0.007075| -0.000159),(0.662369| -0.512548| 0.189783| 0.512391),(-0.054158| -0.001740| -0.001589),(0.711094| -0.437145| 0.185096| 0.518642),(-0.087297| 0.011264| 0.000493),(0.678717| -0.469178| -0.022787| 0.564531),(-0.101947| 0.024679| 0.008681),(-0.567813| 0.474930| 0.335599| -0.582584),(-0.055023| 0.025080| -0.012756),(0.022060| 0.030915| 0.105580| 0.993686),(-0.095603| 0.055348| -0.007870),(0.049686| 0.064874| 0.057843| 0.994976),(-0.117598| 0.072993| -0.001642),(0.114113| 0.128882| 0.093643| 0.980611),(-0.129876| 0.081630| 0.004125),(0.145857| 0.160476| 0.110716| 0.969905),(-0.045878| 0.036318| -0.008391),(0.098715| -0.008287| 0.037596| 0.994371),(-0.083532| 0.070825| -0.001589),(0.112241| 0.006384| 0.026163| 0.993316),(-0.107749| 0.092157| 0.005284),(0.165923| 0.056674| 0.062005| 0.982554),(-0.121703| 0.102708| 0.011247),(0.198953| 0.087967| 0.084190| 0.972415),(-0.035064| 0.043658| -0.001144),(0.136517| -0.016346| -0.036937| 0.989814),(-0.064811| 0.078848| 0.007453),(0.147934| -0.006856| -0.031045| 0.988486),(-0.084980| 0.101735| 0.014222),(0.166353| 0.008150| -0.018515| 0.985859),(-0.097042| 0.114308| 0.019210),(0.205605| 0.040417| 0.008672| 0.977762),(-0.024303| 0.047338| 0.009147),(0.179696| -0.076287| -0.115437| 0.973943),(-0.045540| 0.081415| 0.016402),(0.175105| -0.081290| -0.101572| 0.975917),(-0.058450| 0.100822| 0.020716),(0.195251| -0.066916| -0.086663| 0.974622),(-0.066607| 0.111900| 0.024019),(0.223092| -0.046869| -0.064894| 0.971505)
0,200000,(-0.000061| -0.000313| -0.000025),(0.000568| 0.000476| -0.000412| 1.000000),(-0.033182| -0.007052| -0.000139),(0.662132| -0.513303| 0.188567| 0.512391),(-0.054155| -0.001689| -0.001629),(0.710146| -0.438980| 0.185394| 0.518285),(-0.087261| 0.011381| 0.000389),(0.677587| -0.471065| -0.023979| 0.564269),(-0.101850| 0.024842| 0.008584),(-0.566003| 0.476190| 0.338190| -0.581817),(-0.055017| 0.025135| -0.012680),(0.022189| 0.030782| 0.105598| 0.993685),(-0.095532| 0.055469| -0.007706),(0.050055| 0.065131| 0.056475| 0.995019),(-0.117454| 0.073205| -0.001453),(0.113231| 0.127517| 0.091545| 0.981090),(-0.129695| 0.081916| 0.004282),(0.144655| 0.158609| 0.108419| 0.970651),(-0.045858| 0.036361| -0.008311),(0.098746| -0.008406| 0.037496| 0.994371),(-0.083445| 0.070931| -0.001461),(0.111702| 0.005776| 0.024899| 0.993413),(-0.107588| 0.092358| 0.005394),(0.164718| 0.055194| 0.060211| 0.982953),(-0.121500| 0.102987| 0.011316),(0.197447| 0.086043| 0.082142| 0.973069),(-0.035032| 0.043684| -0.001066),(0.136470| -0.016410| -0.037083| 0.989814),(-0.064747| 0.078886| 0.007591),(0.147730| -0.007107| -0.031016| 0.988516),(-0.084902| 0.101775| 0.014395),(0.166369| 0.008037| -0.018353| 0.985860),(-0.096959| 0.114339| 0.019416),(0.206143| 0.040650| 0.009169| 0.977634),(-0.024256| 0.047345| 0.009220),(0.179525| -0.076298| -0.115692| 0.973943),(-0.045509| 0.081400| 0.016523),(0.175025| -0.081466| -0.099855| 0.976094),(-0.058481| 0.100762| 0.020857),(0.195351| -0.066947| -0.084809| 0.974763),(-0.066675| 0.111808| 0.024176),(0.223218| -0.046860| -0.063008| 0.971601)
